index,question,options,correct_option,old_path,new_path,condition
10,"A 53-year-old male presents with recurrent episodes of cardiac-type chest pain, but cardiac catheterization reveals normal coronary arteries. After initial assessment, what is the most appropriate next step in managing this patient's condition?","['Perform an endoscopy to exclude structural abnormalities.', 'Order ambulatory pH monitoring to correlate chest pain with reflux events.', 'Administer a double dose of proton pump inhibitor twice daily for 14 days.', 'Perform esophageal manometry to assess for motility disorders.', 'Conduct provocative testing with acid perfusion or balloon distention.']",C,Patient with noncardiac chest pain and normal coronary arteries -> Initial assessment of the patient -> Administer a double dose of proton pump inhibitor twice daily for 14 days -> Patient responds to PPI treatment -> Treat the patient for gastroesophageal reflux disease,"Noncardiac chest pain and normal coronary arteries -> Initial patient evaluation -> Administration of twice-daily, double-dose proton pump inhibitor for 14 days -> Symptomatic improvement with PPI therapy -> Diagnosis and management of gastroesophageal reflux disease as the etiology of noncardiac chest pain
",noncardiac chest pain
11,"A 45-year-old male presents with recurrent episodes of cardiac-type chest pain despite normal coronary angiography. Initial double-dose PPI therapy for 14 days provided no relief. Endoscopy revealed no structural abnormalities, and provocative testing failed to induce pain. What is the MOST appropriate next step in evaluating the cause of his chest pain?","['Repeat endoscopy with biopsy', 'Initiate treatment for microvascular angina', 'Perform 24-hour pH monitoring to correlate chest pain events with reflux events.', 'Start a trial of anti-anxiety medication', 'Perform esophageal manometry']",C,"Patient with noncardiac chest pain and normal coronary arteries -> Initial assessment of the patient -> Administer a double dose of proton pump inhibitor twice daily for 14 days -> Patient does not respond to PPI treatment -> Perform an endoscopy -> No pain induced during provocative testing -> Conduct 24-hour pH monitoring -> Chest pain correlates with low pH -> Esophageal cause, likely GERD -> Treat the patient for gastroesophageal reflux disease","Patient with noncardiac chest pain and normal coronary arteries -> Initial clinical assessment -> Administer twice-daily, high-dose proton pump inhibitor for 14 days -> Refractory to PPI therapy -> Perform upper endoscopy -> Negative provocative testing -> Perform 24-hour esophageal pH monitoring -> Positive correlation between chest pain and esophageal acid exposure -> Diagnosis of gastroesophageal reflux disease -> Initiate treatment for gastroesophageal reflux disease
",noncardiac chest pain
12,"A 54-year-old male with a history of hypertension presents to the clinic complaining of recurrent episodes of chest pain. Cardiac workup, including coronary angiography, is negative. After initial assessment, the patient was given a double dose of proton pump inhibitor twice daily for 14 days without improvement. What is the MOST appropriate next step in management?","['Initiate a trial of nitroglycerin', 'Perform an endoscopy', 'Order an ambulatory pH monitoring', 'Start a calcium channel blocker', 'Refer for psychiatric evaluation']",B,Patient with noncardiac chest pain and normal coronary arteries -> Initial assessment of the patient -> Administer a double dose of proton pump inhibitor twice daily for 14 days -> Patient does not respond to PPI treatment -> Perform an endoscopy -> Abnormality found during endoscopy -> Treat based on the specific motility disorder,"Patient presents with noncardiac chest pain and normal coronary arteries -> Initial patient evaluation -> Administer twice-daily, double-dose proton pump inhibitor (PPI) for 14 days -> Lack of therapeutic response to PPI treatment -> Perform upper endoscopy -> Endoscopic findings reveal abnormality -> Initiate treatment based on identified motility disorder
",noncardiac chest pain
13,"A 45-year-old male presents with recurrent episodes of cardiac-type chest pain, despite normal coronary arteries confirmed via angiography. Initial assessment reveals no alarming signs, and a trial of high-dose PPIs for 14 days yields no improvement. Endoscopy shows no structural abnormalities. Given the persistent chest pain, what is the MOST appropriate next step in evaluating the potential esophageal cause of his symptoms, considering the guidelines for noncardiac chest pain?","['Repeat the PPI trial with a different formulation.', 'Proceed directly to surgical intervention for presumed esophageal spasm.', 'Order a cardiac stress test to rule out microvascular angina.', 'Perform provocative testing (Bernstein, Tensilon, Balloon Distention) regardless of manometry results.', 'Perform provocative testing (Bernstein, Tensilon, Balloon Distention) after manometry shows normal results.']",E,"Patient with noncardiac chest pain and normal coronary arteries -> Initial assessment of the patient -> Administer a double dose of proton pump inhibitor twice daily for 14 days -> Patient does not respond to PPI treatment -> Perform an endoscopy -> No pain induced during provocative testing -> Conduct 24-hour pH monitoring -> pH levels are normal -> Perform manometry -> Manometry results are normal or show a nonspecific motility disorder -> Perform provocative testing (Bernstein, Tensilar, Balloon Distention) -> Chest pain induced during provocative testing -> Esophageal cause of chest pain is likely -> Treat based on the specific motility disorder","Noncardiac chest pain and normal coronary arteries -> Initial patient assessment -> Administer twice-daily, double-dose proton pump inhibitor for 14 days -> No response to PPI therapy -> Perform endoscopy -> Provocative testing negative -> Perform 24-hour pH monitoring -> Normal pH levels -> Perform manometry -> Manometry normal or reveals nonspecific motility disorder -> Perform provocative testing (Bernstein test, edrophonium test, balloon distention) -> Chest pain induced during provocative testing -> Likely esophageal etiology of chest pain -> Treat based on specific motility disorder
",noncardiac chest pain
14,"A 45-year-old woman with noncardiac chest pain and normal coronary arteries does not respond to a double dose of proton pump inhibitor twice daily for 14 days. An endoscopy is performed, and no pain is induced during provocative testing. What is the most appropriate next step in managing this patient?","['Perform ambulatory pH monitoring', 'Prescribe a calcium channel blocker', 'Initiate a trial of nitroglycerin', 'Perform a cardiac stress test', 'Reassure the patient']",E,Patient with noncardiac chest pain and normal coronary arteries -> Initial assessment of the patient -> Administer a double dose of proton pump inhibitor twice daily for 14 days -> Patient does not respond to PPI treatment -> Perform an endoscopy -> No pain induced during provocative testing -> Esophageal cause of chest pain is unlikely -> Reassure the patient,"Patient presents with noncardiac chest pain and normal coronary arteries -> Initial patient assessment performed -> Empiric treatment with twice-daily double-dose proton pump inhibitor (PPI) for 14 days initiated -> Patient reports lack of symptom improvement with PPI therapy -> Esophagogastroduodenoscopy (EGD) performed -> Provocative testing during EGD does not elicit pain -> Esophageal etiology of chest pain deemed unlikely -> Patient reassured
",noncardiac chest pain
15,"A 45-year-old woman with noncardiac chest pain and normal coronary arteries has been treated with a double dose of proton pump inhibitor twice daily for 14 days without improvement. An endoscopy reveals no structural abnormalities, and provocative testing does not induce pain. What is the next appropriate step in managing this patient's chest pain?","['Consider repeating the endoscopy with biopsy', 'Perform ambulatory pH monitoring', 'Initiate a trial of calcium channel blockers', 'Consider a trial of a tricyclic antidepressant', 'Refer for psychiatric evaluation']",D,Patient with noncardiac chest pain and normal coronary arteries -> Initial assessment of the patient -> Administer a double dose of proton pump inhibitor twice daily for 14 days -> Patient does not respond to PPI treatment -> Perform an endoscopy -> No pain induced during provocative testing -> Esophageal cause of chest pain is unlikely -> Consider a trial of a tricyclic antidepressant,"Patient presents with noncardiac chest pain and normal coronary arteries -> Initial patient evaluation performed -> Empiric therapy with twice-daily double-dose proton pump inhibitor initiated for 14 days -> Patient demonstrates no clinical response to PPI therapy -> Upper endoscopy performed -> Provocative testing during endoscopy does not elicit pain -> Esophageal etiology of chest pain is less likely -> Trial of tricyclic antidepressant considered
",noncardiac chest pain
16,"A 45-year-old male presents with recurrent episodes of cardiac-type chest pain. Coronary angiography reveals normal coronary arteries. He was initially treated with a double dose of proton pump inhibitor twice daily for 14 days without relief. An endoscopy showed no structural abnormalities. Provocative testing did not induce pain. 24-hour pH monitoring revealed low pH levels, but these were not correlated with chest pain events. What is the MOST appropriate next step in managing this patient's noncardiac chest pain?","['Repeat the 24-hour pH monitoring.', 'Prescribe a calcium channel blocker.', 'Initiate an empiric trial of treatment for GERD.', 'Refer the patient for psychiatric evaluation.', 'Perform esophageal manometry.']",C,"Patient with noncardiac chest pain and normal coronary arteries -> Initial assessment of the patient -> Administer a double dose of proton pump inhibitor twice daily for 14 days -> Patient does not respond to PPI treatment -> Perform an endoscopy -> No pain induced during provocative testing -> Conduct 24-hour pH monitoring -> Low pH but not correlated with chest pain -> Possible esophageal cause, consider GERD -> Initiate an empiric trial of treatment for GERD","Patient with noncardiac chest pain and normal coronary arteries -> Initial patient assessment -> Administer twice-daily, high-dose proton pump inhibitor for 14 days -> No response to PPI therapy -> Perform endoscopy -> Negative provocative testing -> Perform 24-hour pH monitoring -> Low esophageal pH without temporal correlation to chest pain -> Consider GERD as possible etiology -> Initiate empiric GERD treatment
",noncardiac chest pain
17,A 55-year-old woman is found to have a 5 cm adrenal incidentaloma during a CT scan for abdominal pain. She has a history of hypertension and occasional headaches. Physical examination reveals no signs of Cushing's syndrome or virilization. What is the MOST appropriate next step in management?,"['Obtain serum metanephrines to rule out pheochromocytoma.', 'Perform a dexamethasone suppression test to rule out Cushing's syndrome.', 'Monitor the mass with serial imaging every 6 months.', 'Obtain an aldosterone-to-renin ratio to rule out primary aldosteronism.', 'Resect the adrenal mass.']",E,"Initial assessment of a patient with adrenal incidentaloma -> Obtain patient's medical history -> Perform physical examination for signs of adrenal hyperfunction -> If mass is larger than 4 cm, resect","Initial assessment of adrenal incidentaloma -> Obtain patient's medical history -> Perform physical examination for signs of adrenal hyperfunction -> If mass is larger than 4 cm, perform adrenalectomy.
",adrenal incidentaloma
18,"A 55-year-old woman with a history of hypertension and occasional palpitations is found to have a 3 cm adrenal incidentaloma during a CT scan for abdominal pain. According to the guidelines for initial assessment, which of the following is the MOST appropriate next step in management?","['Obtain a detailed medical history and perform a physical examination.', 'Order an MRI of the adrenal glands.', 'Perform a dexamethasone suppression test.', 'Measure serum metanephrines.', 'Initiate treatment with alpha-blockers.']",D,"Initial assessment of a patient with adrenal incidentaloma -> Obtain patient's medical history -> Perform physical examination for signs of adrenal hyperfunction -> For all patients, measure serum metanephrines","Initial assessment of adrenal incidentaloma -> Obtain patient's medical history -> Perform physical examination for signs of adrenal hyperfunction -> Measure serum metanephrines
",adrenal incidentaloma
19,"A 55-year-old woman with a history of hypertension and type 2 diabetes is found to have a 3 cm adrenal mass on a CT scan performed for abdominal pain. She reports increased fatigue, weight gain, and new-onset insomnia. Physical examination reveals truncal obesity and violaceous striae on her abdomen. What is the MOST appropriate next step in evaluating this patient?","['Obtain a CT-guided biopsy of the adrenal mass', 'Measure serum metanephrines and catecholamines', 'Initiate treatment with spironolactone for possible primary aldosteronism', 'Repeat CT scan in 6 months to assess for growth', 'Perform overnight dexamethasone suppression test and measure 24-hour urinary free cortisol.']",E,"Initial assessment of a patient with adrenal incidentaloma -> Obtain patient's medical history -> Perform physical examination for signs of adrenal hyperfunction -> If there are symptoms or signs of Cushing's syndrome, perform overnight dexamethasone suppression test and measure 24-hour urinary free cortisol","Initial assessment of adrenal incidentaloma -> Obtain patient's medical history -> Perform physical examination for signs of adrenal hyperfunction -> Evaluate for Cushing's syndrome with overnight dexamethasone suppression test and 24-hour urinary free cortisol if clinically indicated.
",adrenal incidentaloma
20,"A 58-year-old woman with a history of hypertension and occasional hypokalemia is found to have an adrenal incidentaloma during an abdominal CT scan for unrelated reasons. After obtaining her medical history and performing a physical examination, what is the MOST appropriate next step in evaluating the adrenal incidentaloma?","['Obtain a fine needle aspiration of the adrenal mass.', 'Order an overnight dexamethasone suppression test.', 'Measure plasma aldosterone and renin activity.', 'Schedule a repeat CT scan in 6 months to assess for growth.', 'Immediately refer the patient for surgical resection of the adrenal mass.']",C,"Initial assessment of a patient with adrenal incidentaloma -> Obtain patient's medical history -> Perform physical examination for signs of adrenal hyperfunction -> If the patient is hypertensive or hypokalemic, measure plasma aldosterone and renin activity","Initial assessment of adrenal incidentaloma -> Obtain patient's medical history -> Perform physical examination for signs of adrenal hyperfunction -> If hypertension or hypokalemia is present, measure plasma aldosterone and renin activity.
",adrenal incidentaloma
21,"A 35-year-old female patient presents with an adrenal incidentaloma discovered during imaging for abdominal pain. During the initial assessment, which of the following findings would prompt you to measure testosterone, estradiol, and DHEA-sulfate levels?","['Refractory hypertension and hypokalemia.', 'Truncal obesity and violaceous striae.', 'Headache, palpitations, and pallor.', 'Signs of virilization such as male-pattern baldness or deepening of the voice.', 'Diameter of the incidentaloma >4 cm.']",D,"Initial assessment of a patient with adrenal incidentaloma -> Obtain patient's medical history -> Perform physical examination for signs of adrenal hyperfunction -> If there are signs of virilization or feminization, measure testosterone, estradiol, and DHEA-sulfate","Initial assessment of adrenal incidentaloma -> Obtain patient's medical history -> Perform physical examination for signs of adrenal hyperfunction -> If virilization or feminization is present, measure testosterone, estradiol, and DHEA-S.
",adrenal incidentaloma
22,"A 75-year-old woman with osteoporosis presents to the emergency department after a fall at home, complaining of severe hip pain and an inability to bear weight. Given her history and mechanism of injury, what is the most appropriate initial diagnostic consideration?","['Osteoarthritis', 'Trochanteric bursitis', 'Hip fracture', 'Sciatica', 'Muscle strain']",C,"Patient with HIP PAIN -> History of trauma -> Consider: Hip fracture, Pelvic fracture, Trochanteric fracture","Hip pain -> History of trauma -> Differential diagnosis: Hip fracture, Pelvic fracture, Trochanteric fracture.
",hip pain
23,"A 54-year-old male presents to your office complaining of right groin pain for 3 months. He denies any trauma. The pain is exacerbated by activity and relieved by rest. On physical exam, he has pain with internal rotation of the right hip. Which of the following conditions should be considered in the differential diagnosis?","['Trochanteric bursitis', 'Meralgia paresthetica', 'Lumbar radiculopathy', 'Hip arthropathy', 'Sacroiliac joint dysfunction']",D,"Patient with HIP PAIN -> No history of trauma -> Groin (or thigh) pain. Consider hip arthropathy: Degenerative, Infectious, Inflammatory, Avascular necrosis","Hip pain -> Absence of trauma history -> Groin or thigh pain -> Differential diagnosis: Degenerative, infectious, inflammatory, or avascular necrosis of the hip.
",hip pain
24,"A 58-year-old woman presents with atraumatic buttock pain. She denies any recent falls or injuries. Physical examination reveals no neurological deficits, but she reports pain with palpation of the ischial tuberosity. Which of the following conditions should be considered in the differential diagnosis?","['Hip osteoarthritis', 'Femoral neck stress fracture', 'Meralgia paresthetica', 'Ischial bursitis', 'Trochanteric bursitis']",D,"Patient with HIP PAIN -> No history of trauma -> Buttock pain. Consider: LS spine disease: OA, Disk disease with sciatica. SI joint disease: OA, Inflammatory. Ischial bursitis","Hip pain -> Absence of trauma history -> Buttock pain -> Differential diagnosis: Lumbar spine disease (osteoarthritis, disc disease with sciatica), sacroiliac joint disease (osteoarthritis, inflammatory), ischial bursitis.
",hip pain
25,A 54-year-old woman presents with lateral hip pain that has been gradually increasing over the past few months. She denies any history of trauma or falls. Physical examination reveals tenderness over the greater trochanter. What is the most likely working diagnosis?,"['Osteoarthritis of the hip', 'Sacroiliac joint dysfunction', 'Hip fracture', 'Trochanteric syndrome (bursitis or gluteus medius tendinitis)', 'Lumbar spinal stenosis']",D,Patient with HIP PAIN -> No history of trauma -> Lateral pain. Working diagnosis: Trochanteric syndrome (bursitis or gluteus medius tendinitis),"Hip pain -> Absence of trauma history -> Lateral hip pain -> Provisional diagnosis: Greater trochanteric pain syndrome (Bursitis or Gluteus medius tendinopathy).
",hip pain
26,A 70-year-old female patient presents to the clinic with hip pain that started insidiously. She denies any recent trauma or falls. What is the most appropriate next step in the evaluation of her hip pain?,"['MRI', 'Aspiration of the hip joint', 'Physical therapy', 'Radiography', 'Bone scan']",D,Patient with HIP PAIN -> No history of trauma -> Radiography -> Diagnosis made,"Patient presents with hip pain -> Absence of traumatic etiology -> Radiographic imaging performed -> Diagnosis established.
",hip pain
27,A 52-year-old woman presents to your office complaining of right hip pain. She denies any recent trauma or injury. Initial radiographs are inconclusive. What is the next step in management?,"['Physical therapy', 'NSAIDs and follow-up', 'MRI, CT, or bone scan', 'Aspiration of the hip joint', 'Referral to a pain specialist']",C,"Patient with HIP PAIN -> No history of trauma -> Radiography -> Diagnosis uncertain -> MRI, CT, or bone scan","Hip pain -> Absence of trauma history -> Radiographic imaging -> Diagnostic uncertainty -> Advanced imaging (MRI, CT, or bone scan)
",hip pain
28,"A 54-year-old woman presents with atraumatic hip pain that began acutely 2 days ago. Physical examination reveals severe pain with a positive Thomas test. Radiography shows hip effusion, but the diagnosis remains uncertain. What is the MOST appropriate next step in management?","['Administer a course of oral NSAIDs.', 'Prescribe physical therapy focusing on hip strengthening.', 'Order a CT scan of the lumbar spine.', 'Initiate intravenous antibiotics empirically.', 'Aspiration of the hip joint, under imaging guidance.']",E,Patient with HIP PAIN -> No history of trauma -> Radiography -> Diagnosis uncertain -> Consider image-guided hip aspiration,"Hip pain -> Absence of trauma history -> Radiographic evaluation -> Diagnostic uncertainty -> Consideration of image-guided hip aspiration
",hip pain
29,"A 54-year-old male with a history of chronic alcohol abuse and recent complaints of muscle weakness, tremors, and occasional cardiac palpitations is found to have a serum magnesium level of 1.5 mEq/L. After initial stabilization, what is the MOST appropriate next step in determining the underlying cause of his hypomagnesemia?","['Administer intravenous magnesium sulfate.', 'Immediately start potassium supplementation.', 'Perform a 24-hour urine test to measure magnesium excretion.', 'Obtain an ECG to assess for cardiac abnormalities.', 'Prescribe a loop diuretic to reduce fluid overload.']",C,"Evaluate patient for hypomagnesemia -> Magnesium level below the reference range -> Multiple system involvement (Cardiac, Neuromuscular, CNS). Determine whether caused by decreased intake/absorption or increased losses -> Perform a 24-hour urine test to measure magnesium excretion -> Treat underlying causes. Increase Mg supplementation","Hypokalemia evaluation -> Serum magnesium level below reference range -> Multisystem involvement (cardiac, neuromuscular, CNS) -> Etiology determination (decreased intake/absorption vs. increased losses) -> 24-hour urine magnesium excretion measurement -> Treatment of underlying cause -> Magnesium supplementation.
",hyperkalemia
30,"A 60-year-old male presents to the emergency department with a wide-complex tachycardia. Upon initial assessment, he is found to be hypotensive and has altered mental status. Which of the following is the most appropriate next step in management?","['Administer intravenous amiodarone.', 'Administer intravenous adenosine.', 'Perform a vagal maneuver.', 'Obtain a 12-lead ECG.', 'Direct current (DC) cardioversion.']",E,Patient with WIDE-COMPLEX TACHYCARDIA -> Unstable -> DC Cardioversion,"Wide-complex tachycardia -> Hemodynamic instability -> Direct current cardioversion
",wide-complex tachycardia
31,"A 70-year-old male with a history of myocardial infarction is brought to the emergency department due to a wide-complex tachycardia. He is hemodynamically stable. An ECG shows QRS duration of 170 ms, right axis deviation, a broad R wave in V1 lasting 50 ms, and a Q wave in V6. According to the described criteria, what is the most likely diagnosis?","['Supraventricular tachycardia with aberrancy', 'Atrial fibrillation with pre-excitation', 'Sinus tachycardia with bundle branch block', 'Atrial flutter with aberrant conduction', 'Ventricular tachycardia']",E,"Patient with WIDE-COMPLEX TACHYCARDIA -> Stable -> History and physical examination -> QRS duration >160 ms, Right axis deviation >90°, V1: broad R >40 ms, delayed R to S duration >100 ms, V6: any Q wave, Negative concordance","WIDE-COMPLEX TACHYCARDIA -> Hemodynamically stable -> Clinical evaluation and physical exam -> QRS duration >160 ms, Right axis deviation >90°, V1: R wave duration >40 ms, R to S duration >100 ms, V6: Q wave present, Negative concordance
",wide-complex tachycardia
32,"A 60-year-old male presents to the emergency department with wide-complex tachycardia. He is hemodynamically stable, and the ECG shows no evidence of AV dissociation. The QRS morphology in V1 is positive (RBBB-type). Which of the following ECG findings would strongly suggest a ventricular origin of the tachycardia?","['QRS duration <120 ms', 'Left axis deviation', 'R:S ratio of >1 in V6', 'QRS duration >160 ms, right axis deviation >90°, V1: broad R >40 ms, delayed R to S duration >100 ms, V6: any Q wave, negative concordance.', 'Termination of arrhythmia with carotid massage']",D,"Patient with WIDE-COMPLEX TACHYCARDIA -> Stable -> Evidence of AV dissociation? -> No -> Differentiate between LBBB- and RBBB-type patterns and apply morphologic analysis -> V1 positive (RBBB) -> QRS duration >160 ms, Right axis deviation >90°, V1: broad R >40 ms, delayed R to S duration >100 ms, V6: any Q wave, Negative concordance","Wide-complex tachycardia -> Hemodynamically stable -> Absence of atrioventricular dissociation -> Differentiation between left bundle branch block and right bundle branch block morphology -> Right bundle branch block morphology in V1 -> QRS duration >160 ms, Right axis deviation >90°, V1: broad R >40 ms, delayed R to S duration >100 ms, V6: Q wave present, Negative concordance
",wide-complex tachycardia
33,A 28-year-old patient presents to the emergency department with wide-complex tachycardia. The patient is hemodynamically stable and reports recurrent episodes of palpitations for over 3 years. Which of the following is the MOST appropriate next step in the evaluation of this patient?,"['Administer adenosine to attempt to terminate the tachycardia.', 'Immediately initiate direct current (DC) cardioversion.', 'Administer verapamil to control the heart rate.', 'Obtain a 12-lead ECG and carefully review the clinical history, including any prior ECGs, to differentiate between ventricular tachycardia (VT) and supraventricular tachycardia (SVT) with aberrancy.', 'Perform carotid massage to assess for termination of the arrhythmia.']",D,"Patient with WIDE-COMPLEX TACHYCARDIA -> Stable -> History and physical examination -> Younger age (<35), Recurrent symptoms for >3 yr","Wide-complex tachycardia -> Hemodynamically stable -> Clinical history and physical examination -> Age <35 years, Recurrent episodes >3 years -> Differential diagnosis and management
",wide-complex tachycardia
34,"A 58-year-old male presents to the emergency department with a wide-complex tachycardia. He is hemodynamically stable, alert, and oriented. According to the guidelines, what is the next appropriate step in managing this patient?","['Administer intravenous amiodarone.', 'Perform immediate synchronized cardioversion.', 'Administer intravenous adenosine.', 'Obtain a 12-lead ECG.', 'Initiate a trial of vagal maneuvers.']",D,Patient with WIDE-COMPLEX TACHYCARDIA -> Stable -> Obtain 12-lead ECG,"Wide-complex tachycardia -> Hemodynamic stability -> Obtain 12-lead ECG
",wide-complex tachycardia
