question,answer,options,correct_option,path,condition
"A 70-year-old male presents to the emergency department with sudden onset anuria. Initial assessment reveals no signs of obstruction. Considering the possibility of acute renal failure, what is the most appropriate next step in the diagnostic workup, given the anuria and the need to differentiate between possible causes?","Perform a renal ultrasound with Doppler study and Technetium perfusion scan to rule out renal vascular occlusion, and if negative, suspect severe RPGN requiring biopsy.","['Administer a fluid bolus to rule out pre-renal azotemia.', 'Insert a Foley catheter to rule out urinary retention.', 'Perform a renal ultrasound with Doppler study and Technetium perfusion scan to rule out renal vascular occlusion, and if negative, suspect severe RPGN requiring biopsy.', 'Order a CT scan of the abdomen and pelvis to rule out nephrolithiasis.', 'Immediately initiate empiric antibiotic therapy for presumed pyelonephritis.']",C,Start of diagnosis -> Anuria -> Renal US with Doppler study Technetium perfusion scan -> Negative scan -> Severe RPGN,acute renal failure
A 58-year-old male with a history of benign prostatic hyperplasia presents to the emergency department with anuria. Initial urinalysis reveals white blood cells and WBC casts. A subsequent urine culture is positive. What is the most likely cause of the patient's acute renal failure?,Prerenal azotemia,"['Postrenal obstruction', 'Allergic interstitial nephritis', 'Glomerulonephritis', 'Acute tubular necrosis', 'Prerenal azotemia']",E,"Start of diagnosis -> Anuria -> Urinalysis -> WBCC, WBC casts -> Urine culture -> Positive results -> Prerenal",acute renal failure
"A 58-year-old male presents with anuria following a prolonged period of hypotension. Urinalysis reveals muddy brown casts, pigmented casts, and tubular epithelial cell casts. Lab results show UOsm <350 mOsm/kg, UNa >40 mEq/L, and FeNa >1%. Dipstick is heme positive, but no RBCs are seen on microscopy. Which of the following is the most likely underlying cause of acute renal failure in this patient?",Rhabdomyolysis,"['Glomerulonephritis', 'Drug-induced allergic interstitial nephritis (AIN)', 'Acute tubular necrosis (ATN)', 'Prerenal azotemia', 'Rhabdomyolysis']",E,"Start of diagnosis -> Anuria -> Urinalysis -> Muddy brown casts, Pigmented casts, Tubular epithelial cell casts, UOsm <350 mOsm/kg, UNa >40 mEq/L, FeNa >1% -> ATN -> Dipstick heme positive without RBCs -> Rhabdomyolysis",acute renal failure
"A 54-year-old woman with a history of recurrent UTIs presents to the emergency department with anuria. Urinalysis reveals bland or hyaline casts, UOsm >500 mOsm/kg, UNa <20 mEq/L, and FeNa <1%. What is the most likely diagnosis?",Pyelonephritis,"['Glomerulonephritis', 'Acute Tubular Necrosis', 'Drug-induced interstitial nephritis', 'Pyelonephritis', 'Prerenal Azotemia']",D,"Start of diagnosis -> Anuria -> Urinalysis -> Bland or hyaline casts, UOsm >500 mOsm/kg, UNa <20 mEq/L, FeNa <1% -> Positive results -> Pyelonephritis",acute renal failure
"A 55-year-old male presents to the emergency department with anuria. Urinalysis reveals bland or hyaline casts, UOsm >500 mOsm/kg, UNa <20 mEq/L, and FeNa <1%. Initial workup is negative. Which of the following is the most likely diagnosis?",Acute interstitial nephritis (AIN),"['Prerenal azotemia', 'Glomerulonephritis', 'Postrenal obstruction', 'Acute tubular necrosis (ATN)', 'Acute interstitial nephritis (AIN)']",E,"Start of diagnosis -> Anuria -> Urinalysis -> Bland or hyaline casts, UOsm >500 mOsm/kg, UNa <20 mEq/L, FeNa <1% -> Negative results -> AIN",acute renal failure
"A 62-year-old patient with a history of multiple transfusions develops a suspected transfusion reaction with fever and chills during a blood transfusion. Initial investigations, including a DAT, are negative, and there's no visible hemolysis. However, the reaction occurred more than 24 hours post-transfusion. What is the MOST appropriate next step in managing this patient?","Maintain blood pressure and renal perfusion with intravenous fluids, potentially with diuretics.","['Immediately administer epinephrine to treat a potential anaphylactic reaction.', 'Maintain blood pressure and renal perfusion with intravenous fluids, potentially with diuretics.', 'Administer acetaminophen to manage the fever.', 'Restart the transfusion at a slower rate after antihistamine administration.', 'Perform leukoreduction of future blood products to prevent febrile non-hemolytic transfusion reactions.']",B,"Patient with TRANSFUSION REACTIONS -> Stop transfusion, notify blood bank. Reconfirm patient identity, check unit ID. Fresh sample plus remaining unit to blood bank -> DAT negative. No visible hemolysis -> Hemolytic reaction excluded -> If >24 hr after transfusion, delayed hemolytic transfusion reaction -> Maintain BP and renal perfusion. IVF ± diuretics",transfusion reactions
"A 54-year-old patient undergoing a blood transfusion suddenly develops a fever and chills. The transfusion is immediately stopped, and the blood bank is notified. After reconfirming the patient's identity and the unit ID, a fresh blood sample is drawn and sent to the blood bank along with the remaining blood unit. The DAT result is negative, and there is no visible hemolysis. Considering the patient's symptoms and initial lab results, what is the MOST appropriate next step in managing this patient?",Order blood cultures and start empiric antibiotics.,"['Administer acetaminophen for fever management.', 'Order blood cultures and start empiric antibiotics.', 'Obtain a chest X-ray to evaluate for transfusion-related acute lung injury (TRALI).', 'Administer intravenous fluids and diuretics to support renal perfusion.', 'Restart the transfusion at a slower rate after antihistamine administration.']",B,"Patient with TRANSFUSION REACTIONS -> Stop transfusion, notify blood bank. Reconfirm patient identity, check unit ID. Fresh sample plus remaining unit to blood bank -> DAT negative. No visible hemolysis -> Hemolytic reaction excluded -> Fever present -> Sepsis (usually from platelet unit) -> Blood culturing. Empiric antibiotics",transfusion reactions
"A 58-year-old patient with a history of hematologic malignancy develops a suspected transfusion reaction during a platelet transfusion, presenting with fever and chills. Initial steps, including stopping the transfusion and sending samples to the blood bank, reveal a negative DAT and no visible hemolysis. Considering the potential causes and preventive measures, which of the following is the MOST appropriate next step in preventing future similar reactions in this patient?",Provide irradiated blood products for future transfusions,"['Pretreat with corticosteroids before future transfusions', 'Provide irradiated blood products for future transfusions', 'Administer antihistamines prior to future transfusions', 'Administer acetaminophen prior to future transfusions', 'Use leukoreduced blood products for all future transfusions']",B,"Patient with TRANSFUSION REACTIONS -> Stop transfusion, notify blood bank. Reconfirm patient identity, check unit ID. Fresh sample plus remaining unit to blood bank -> DAT negative. No visible hemolysis -> Hemolytic reaction excluded -> TA-GVHD -> Prevent with irradiated blood products",transfusion reactions
"A 35-year-old male presents to the emergency department after being bitten by a rattlesnake. He has moderate pain, spreading erythema, and some systemic symptoms. After establishing IV access and initiating fluids, what is the next most appropriate step in managing this patient?",Perform a skin test to assess potential allergic reaction to antivenin before administration.,"['Consult with a regional poison control center.', 'Administer antivenin immediately without a skin test.', 'Apply a tourniquet to the affected limb to prevent venom spread.', 'Administer a rapid crystalloid infusion to maintain blood pressure.', 'Perform a skin test to assess potential allergic reaction to antivenin before administration.']",E,"Root node representing the condition of snake venom poisoning -> Assess patient history, identify snake if possible, provide supportive care, wound care, and extremity immobilization -> Determine the severity of envenomation (Minimal, Moderate, Severe) -> Proceed with further medical intervention -> Establish IV access, administer IV fluids, and conduct complete laboratory testing -> Perform a skin test to assess potential allergic reaction to antivenin -> Administer antivenin if the skin test is negative or if the benefits outweigh the risks -> Monitor for allergic reactions and administer appropriate treatment if necessary",snake venom poisoning
"A 5-year-old male presents with prolonged PTT, PT, and TT on routine preoperative testing. He has no known history of bleeding, and his family history is unremarkable. Initial coagulation tests are repeated with an equal mixture of the patient's plasma and normal plasma, which corrects the PT. What is the most likely underlying cause of the patient's coagulation abnormalities?",Factor VII deficiency,"['Heparin contamination', 'Vitamin K deficiency', 'Lupus anticoagulant', 'Factor VIII deficiency', 'Factor VII deficiency']",E,"Prolonged clotting times (PTT, PT, TT) -> No or unknown history of bleeding -> Unknown etiology -> Repeat test with equal mixture of patient's and 'normal' plasma -> PT -> Inhibitor mix - Correction -> Factor deficiency (VII) (most likely inherited)",coagulation abnormalities
A 58-year-old woman with no prior history of bleeding or clotting problems is found to have prolonged PT and PTT during routine preoperative testing. Mixing studies with normal plasma fail to correct the prolonged PT and PTT. What is the MOST likely underlying cause?,Specific factor antibody,"['Vitamin K deficiency', 'Factor VIII deficiency', 'Factor VII deficiency', 'Lupus anticoagulant', 'Specific factor antibody']",E,"Prolonged clotting times (PTT, PT, TT) -> History of bleeding spontaneously or after surgery or trauma -> Unknown etiology -> Repeat test with equal mixture of patient's and 'normal' plasma -> PT -> Inhibitor mix - No correction -> Specific or lupus-like inhibitor",coagulation abnormalities
