name,zero_shot,real,question,path
corneal abrasion,D,E,A 52-year-old male reports a constant high-pitched ringing in his ears with mixed hearing loss. Physical exam and basic tests are normal. What is the MOST appropriate next step in management?,Patient with tinnitus and mixed hearing loss -> Amplification with a hearing aid is the recommended initial management step.
premenstrual dysphoric disorder,C,B,"A 35-year-old woman presents with significant mood swings, irritability, and anxiety in the days leading up to her menstrual period, which have been tracked for two cycles and clearly worsen in the luteal phase. Initial nonpharmacologic interventions and an SSRI have not been effective. What is the MOST appropriate next step in managing her premenstrual dysphoric disorder?","For PMDD not responsive to SSRIs, hormonal therapy (oral contraceptives) is a well-established alternative to control anovulation and symptoms."
right ventricular failure,B,D,"A 55-year-old woman with a history of severe pneumonia is being evaluated for possible thyroid dysfunction. Her initial lab results show normal TSH but elevated free T4. Based on this information, which of the following is the most appropriate next step in management?",History of severe pneumonia -> Transient thyroid test abnormalities in sick euthyroid syndrome -> Isolated elevated free T4 with normal TSH is atypical -> Repeat free T4 measurement after recovery
right ventricular failure,D,B,"A 58-year-old male with a history of chronic right ventricular failure presents with fatigue, nausea, and lower extremity edema. An echocardiogram rules out left-sided pathology. Pulmonary hypertension is present. Which of the following is the most likely next step in evaluating the cause of his right ventricular failure?","Patient with RIGHT VENTRICULAR FAILURE -> History and physical exam -> Echocardiogram: Left-sided pathology? No, Pulmonary hypertension present? Yes -> Liver-related evaluation -> Consider portopulmonary hypertension"
hypokalemia,A,E,"A 45-year-old female presents with muscle weakness and fatigue. Her serum potassium is 3.2 mmol/L, urine potassium is 20 mmol/L, and TTKG is 5; blood pressure and acid–base status are normal. What is the most likely cause of her hypokalemia?",Patient with hypokalemia -> Urine K+ >15 and TTKG >4 indicate renal loss -> Normal BP/acid–base exclude mineralocorticoid excess -> Diuretic abuse is most consistent
hypokalemia,C,E,A 55-year-old patient with a serum potassium of 3.2 mmol/L and urine potassium of 20 mmol/g creatinine is being evaluated for hypokalemia. What is the next step in determining its etiology?,Patient with hypokalemia -> Urine K+ >15 indicates renal loss -> Next step: calculate TTKG to further differentiate renal causes
hypokalemia,D,E,"A 55-year-old patient with a history of hypertension is found to have a serum potassium of 3.2 mmol/L on routine checkup, with no symptoms. What is the most appropriate initial management step?","Patient with mild, asymptomatic hypokalemia -> No emergency -> Conservative management with dietary/oral potassium supplementation is appropriate"
anorexia,B,E,"A 78-year-old woman with hypertension and osteoarthritis presents with decreased appetite and unintentional 10-pound weight loss over 3 months. She denies fever, abdominal pain, and GI symptoms but reports fatigue. Which is the most appropriate next step in evaluating her anorexia?","Patient with anorexia -> Perform history, physical exam, and review medications -> Medication side effects (if sedatives/psychotropics are present) may be contributory"
anorexia,D,E,"A 70-year-old female with anorexia, chronic constipation, and occasional use of over‐the‐counter medications presents for evaluation. After a thorough history, physical, and review of her conditions and medications, which potential cause should be considered?",Patient with anorexia -> History and exam -> Medication review in context of constipation -> Laxative abuse is a plausible cause
anorexia,B,E,"A 70-year-old patient with Parkinson’s disease presents with anorexia. After initial assessment, which medication should be considered as a potential cause of his anorexia?",Patient with anorexia -> Review medications in a patient with Parkinson’s -> Levodopa may cause appetite suppression
anorexia,B,E,"A 58-year-old male with a two-month history of anorexia, fatigue, and unexplained weight loss (with no psychological distress) is being evaluated for endocrine causes. Which condition should be considered?",Patient with anorexia and weight loss -> Consider endocrine causes -> Hyperthyroidism is a common cause of unexplained weight loss and anorexia
anorexia,C,D,"A 28-year-old female presents with anorexia. After initial history and physical examination, what is the most important next step in evaluating the possible cause of her anorexia?",Patient with anorexia -> History and Physical exam -> Non-medical causes of anorexia -> Evaluate for eating disorders -> Consider: Anorexia nervosa or bulimia nervosa
lymphadenopathy,E,D,"A 78-year-old male presents with a gradual decline in appetite over the past year, accompanied by unintentional weight loss. Physical and laboratory examinations reveal no obvious medical or psychological causes. Considering age-related physiological changes, which of the following sensory impairments should be specifically evaluated as a potential contributing factor to his anorexia?",Patient with anorexia -> History and Physical exam -> Non-medical causes of anorexia -> Age-related physiological changes -> Consider: Visual impairment (impacting food preparation and meal planning)
lymphadenopathy,C,D,"A 54-year-old male presents with recent onset of enlarged lymph nodes in the neck that have persisted despite initial observation. After a negative abdominal CT scan, what is the MOST appropriate next step in the evaluation of his lymphadenopathy?",Patient with lymphadenopathy in the neck -> Negative imaging -> High suspicion for malignancy in accessible cervical node -> Tissue diagnosis via biopsy
metabolic acidosis,B,A,A 55-year-old male presents with shortness of breath and confusion. Laboratory studies reveal a serum bicarbonate level of 18 mEq/L with an elevated anion gap. Which toxin should be suspected as the cause of his metabolic acidosis?,Patient with elevated anion gap acidosis and clinical features of toxicity -> Salicylate poisoning is common and produces a mixed acid–base picture
metabolic acidosis,D,A,A 58-year-old male presents with a serum bicarbonate level of 18 mEq/L and an elevated anion gap. Which of the following is the most likely cause of his metabolic acidosis?,Elevated anion gap metabolic acidosis in an older adult -> Diarrhea causes normal anion gap acidosis -> Lactic acidosis is a common cause -> Most consistent with lab findings
acute stroke,D,B,A 55-year-old male presents with chronic constipation. Initial colonoscopy reveals a dilated colon. What is the next appropriate step in evaluating the cause of his constipation?,"Evaluation of a patient with constipation -> Initial evaluation including patient history, physical examination and laboratory tests looking for heme-positive stool or rectal bleeding -> Perform diagnostic imaging to further investigate the cause of constipation -> Presence of a dilated colon on imaging indicating possible Hirschsprung's disease or other causes -> Perform rectal biopsy to confirm the diagnosis -> Presence of melanosis coli, often associated with chronic laxative use"
hearing loss,"The most likely etiology in this case is **(D) Medication induced**. Here's why:* **Sudden onset:**While other options can cause hearing loss, sudden onset is more characteristic of medication-induced or vascular issues.* **Age:** The patient is 55, putting him within the age range where medications are commonly used and could have ototoxic effects.* **Normal otoscopy:** This rules out obvious middle ear problems like infection or perforation.**Let's look at why the other options are less likely:*** **(A) Temporal bone fracture:**Usually associated",A,A 55-year-old male presents with sudden onset hearing loss in his left ear over the past 2 days. Otoscopy reveals a normal external auditory canal and tympanic membrane. Audiometry confirms sensorineural hearing loss. What is the MOST likely etiology?,Patient with HEARING LOSS -> History -> Otoscopy -> Normal -> Formal hearing evaluation -> Sensorineural hearing loss -> Acquired -> Sudden -> Trauma (Temporal bone fracture)
polyarticular arthritis,A,B,"A 45-year-old woman presents with symmetric polyarthritis in her hands and wrists, but no axial involvement. After a thorough evaluation, the physician suspects an inflammatory process. Which of the following conditions should be considered in the differential diagnosis, considering the absence of axial involvement and the symmetry of joint involvement?","Determine if patient has polyarticular arthritis based on history, physical examination, radiographs, and laboratory tests -> Determine if the polyarticular arthritis is inflammatory -> Symmetric -> RA or SLE more likely than scleroderma (usually not symmetric polyarthritis dominant)"
abnormal serum protein electrophoresis,"The correct answer is **C. Observation and monitoring**. Here's why:* **The patient's presentation suggests monoclonal gammopathy of undetermined significance (MGUS).**This is characterized by an abnormal SPEP with increased IgG, but without the typical symptoms or complications of multiple myeloma.* **A single bone lesion on imaging could be benign.** Further investigation and monitoring are needed to determine if it's related to MGUS or a separate issue.* **Normal bone marrow aspirate and MRI of the spine rule out active disease.** This supports the possibility of MGUS, which often remains stable for",E,"A 55-year-old man is found to have an abnormal serum protein electrophoresis (SPEP) during a routine checkup. Further workup reveals increased IgG, a single bone lesion on imaging, and normal bone marrow aspirate. An MRI of the thoracic and lumbosacral spine is normal. What is the MOST appropriate next step in management?","Before initiating radiation, confirm solitary plasmacytoma via biopsy"
chronic myelogenous leukemia,C,F,"A 62-year-old male presents with hematochezia. Initial assessment suggests possible lower gastrointestinal bleeding. After initial resuscitation, what is the next appropriate step in management?",Initial stabilization -> Suspected lower GI bleeding -> Direct visualization (colonoscopy) needed for diagnosis
hypotension,E,A,"A 58-year-old male presents to the emergency department with hypotension, showing no immediate signs of instability after initial assessment. Further examination reveals no clear etiology for his condition. Given the unclear cause of hypotension and the patient's stable condition, which of the following is the MOST appropriate next step in management?","Stable hypotension, unclear cause -> Use monitoring to differentiate type of shock"
dilated pupil,D,F,"A 70-year-old male presents to the emergency department with hypotension and signs of shock. After initial assessment, he is deemed stable but still hypotensive. Given his history of coronary artery disease, what is the MOST appropriate next step in managing his hypotension?",Stable + hx of CAD + persistent hypotension -> Evaluate LV function for cardiogenic cause
hyperglycemia,B,A,"A 55-year-old male with a history of obesity and sedentary lifestyle presents to the clinic for a routine check-up. A fasting plasma glucose test reveals a level of 130 mg/dL. Based on this finding, what is the most appropriate next step in managing this patient's condition?",Determine if the patient has hyperglycemia -> Check the patient's glucose level -> Check glucose level after fasting -> Glucose level >126 mg/dl -> Patient has diabetes -> Patient has type 2 diabetes -> Recommend vaccinations
grief,A,E,"A 70-year-old woman is brought to your office by her daughter. The daughter reports that her mother's husband died 6 months ago. Since then, her mother has had significant loss, somatic distress, obsessions, compulsions, phobias, and panic attacks. The patient has no prior psychiatric history. Which of the following is the MOST appropriate next step in the management of this patient?",Patient Has Experienced SIGNIFICANT LOSS -> History -> Anxiety -> Assess symptoms -> Anxiety disorders -> E
toxic shock syndromes,B,A,"A 70-year-old female with a history of a low-impact wrist fracture presents to your office. Her physical exam is unremarkable. A bone mineral density scan reveals a Z score of -2.2. After initial labs, what is the next best step in management?","Patient with OSTEOPOROSIS/OSTEOPENIA -> History, physical examination -> Bone mineral density scan -> Osteopenia or osteoporosis. Laboratory evaluation -> Laboratory test results normal; Z score <2.0. Additional evaluation for secondary causes. Treatment. Repeat BMD scan in 1-2 yr to assess treatment effect"
respiratory symptoms in hiv-infected patients,C,D,"A 45-year-old HIV-positive man with a CD4 count of 400 cells/mm3 presents to the emergency department with a persistent cough and shortness of breath. A chest X-ray reveals a pulmonary infiltrate. After the X-ray, what is the MOST appropriate next step in managing this patient?","HIV-Infected Patient with RESPIRATORY COMPLAINTS -> If TB risk factors, observe routine infection-control practices during evaluation -> HIV+ with CD4 count >350 cells/ml -> CXR -> Abnormal -> Cause identified? -> Yes -> Provide appropriate treatment"
respiratory symptoms in hiv-infected patients,E,C,"A 34-year-old HIV-positive man with a CD4 count of 400 cells/mm³ presents with a persistent cough and shortness of breath that has gradually worsened over the past two weeks. A chest X-ray reveals focal infiltrates. What is the most likely diagnosis, considering the subacute presentation?","HIV-Infected Patient with RESPIRATORY COMPLAINTS -> If TB risk factors, observe routine infection-control practices during evaluation -> HIV+ with CD4 count >350 cells/ml -> CXR -> Normal -> Assess gas exchange -> Abnormal -> Focal infiltrates -> Subacute presentation -> Tuberculosis"
respiratory symptoms in hiv-infected patients,C,E,"A 35-year-old HIV-positive male with a CD4 count of 400 cells/ml presents with subacute onset of fever, dyspnea, and a cough. A chest X-ray reveals focal infiltrates. What is the most likely diagnosis?","HIV-Infected Patient with RESPIRATORY COMPLAINTS -> If TB risk factors, observe routine infection-control practices during evaluation -> HIV+ with CD4 count >350 cells/ml -> CXR -> Normal -> Assess gas exchange -> Abnormal -> Focal infiltrates -> Subacute presentation -> TB"
respiratory symptoms in hiv-infected patients,D,E,"A 35-year-old HIV-positive male with a CD4 count of 400 cells/mm3 presents to the emergency department with a 3-day history of fever, cough, and shortness of breath. A chest X-ray reveals diffuse bilateral infiltrates. Given the acute presentation, what is the most likely diagnosis?","HIV-Infected Patient with RESPIRATORY COMPLAINTS -> If TB risk factors, observe routine infection-control practices during evaluation -> HIV+ with CD4 count >350 cells/ml -> CXR -> Normal -> Assess gas exchange -> Abnormal -> Diffuse infiltrates -> Acute presentation (<5 days) -> Atypical pneumonia"
respiratory symptoms in hiv-infected patients,A,E,"A 34-year-old HIV-positive man with a CD4 count of 400 cells/µL presents to the emergency department with a cough and shortness of breath for 3 days. A chest X-ray reveals focal infiltrates. Given his acute presentation, what is the most likely diagnosis?","HIV-Infected Patient with RESPIRATORY COMPLAINTS -> If TB risk factors, observe routine infection-control practices during evaluation -> HIV+ with CD4 count >350 cells/ml -> CXR -> Normal -> Assess gas exchange -> Abnormal -> Focal infiltrates -> Acute presentation (<5 days) -> Atypical pneumonia"
respiratory symptoms in hiv-infected patients,C,E,"A 34-year-old HIV-positive man with a CD4 count of 400 cells/mm3 presents to the emergency department with a 2-day history of fever, cough, and shortness of breath. A chest X-ray reveals focal infiltrates. Given the acute presentation, what is the most likely next step in management?","HIV-Infected Patient with RESPIRATORY COMPLAINTS -> If TB risk factors, observe routine infection-control practices during evaluation -> HIV+ with CD4 count >350 cells/ml -> CXR -> Normal -> Assess gas exchange -> Abnormal -> Focal infiltrates -> Acute presentation (<5 days) -> Aspiration"
respiratory symptoms in hiv-infected patients,C,D,"A 45-year-old HIV-positive man with a CD4 count of 400 cells/mm3 presents to the emergency department with a 3-day history of fever, cough, and shortness of breath. A chest X-ray reveals diffuse bilateral infiltrates. Given his acute presentation and radiographic findings, which of the following conditions should be suspected?","HIV-Infected Patient with RESPIRATORY COMPLAINTS -> If TB risk factors, observe routine infection-control practices during evaluation -> HIV+ with CD4 count >350 cells/ml -> CXR -> Normal -> Assess gas exchange -> Abnormal -> Diffuse infiltrates -> Acute presentation (<5 days) -> CHF"
respiratory symptoms in hiv-infected patients,A,E,"A 34-year-old HIV-positive patient with a CD4 count of 400 cells/ml presents to the emergency department with a 2-day history of fever, cough, and shortness of breath. A chest X-ray reveals diffuse infiltrates. Given the acute presentation, which of the following is the most likely etiology?","HIV-Infected Patient with RESPIRATORY COMPLAINTS -> If TB risk factors, observe routine infection-control practices during evaluation -> HIV+ with CD4 count >350 cells/ml -> CXR -> Normal -> Assess gas exchange -> Abnormal -> Diffuse infiltrates -> Acute presentation (<5 days) -> Legionella"
respiratory symptoms in hiv-infected patients,B,E,A 45-year-old HIV-positive man with a CD4 count of 400 cells/mm³ presents with a cough and fever for 2 days. A chest X-ray reveals a focal infiltrate in the right lower lobe. What is the most likely next step in management?,"HIV-Infected Patient with RESPIRATORY COMPLAINTS -> If TB risk factors, observe routine infection-control practices during evaluation -> HIV+ with CD4 count >350 cells/ml -> CXR -> Normal -> Assess gas exchange -> Abnormal -> Focal infiltrates -> Acute presentation (<5 days) -> Legionella"
respiratory symptoms in hiv-infected patients,D,E,"A 34-year-old HIV-positive man with a CD4 count of 400 cells/mm³ presents to the emergency department with a 3-day history of fever, cough, and shortness of breath. A chest X-ray reveals diffuse infiltrates. Given the acute presentation, which of the following should be MOST concerning?","HIV-Infected Patient with RESPIRATORY COMPLAINTS -> If TB risk factors, observe routine infection-control practices during evaluation -> HIV+ with CD4 count >350 cells/ml -> CXR -> Normal -> Assess gas exchange -> Abnormal -> Diffuse infiltrates -> Acute presentation (<5 days) -> Septic emboli"
respiratory symptoms in hiv-infected patients,E,C,A 34-year-old HIV-positive man with a CD4 count of 400 cells/mm³ presents to the emergency department with a cough and shortness of breath that started 3 days ago. A chest X-ray reveals focal infiltrates. What is the most likely next step in the evaluation?,"HIV-Infected Patient with RESPIRATORY COMPLAINTS -> If TB risk factors, observe routine infection-control practices during evaluation -> HIV+ with CD4 count >350 cells/ml -> CXR -> Normal -> Assess gas exchange -> Abnormal -> Focal infiltrates -> Acute presentation (<5 days) -> Septic emboli"
respiratory symptoms in hiv-infected patients,B,D,"A 45-year-old HIV-positive man with a CD4 count of 400 cells/ml presents with subacute onset of fever, dyspnea, and a nonproductive cough. A chest X-ray reveals diffuse infiltrates. What is the most likely diagnosis?","HIV-Infected Patient with RESPIRATORY COMPLAINTS -> If TB risk factors, observe routine infection-control practices during evaluation -> HIV+ with CD4 count >350 cells/ml -> CXR -> Normal -> Assess gas exchange -> Abnormal -> Diffuse infiltrates -> Subacute presentation -> Rhodococcus"
respiratory symptoms in hiv-infected patients,D,A,"A 45-year-old HIV-positive man with a CD4 count of 400 cells/ml presents with subacute onset of fever, cough, and shortness of breath. A chest X-ray reveals focal infiltrates. What is the most likely diagnosis?","HIV-Infected Patient with RESPIRATORY COMPLAINTS -> If TB risk factors, observe routine infection-control practices during evaluation -> HIV+ with CD4 count >350 cells/ml -> CXR -> Normal -> Assess gas exchange -> Abnormal -> Focal infiltrates -> Subacute presentation -> Rhodococcus"
respiratory symptoms in hiv-infected patients,E,D,"A 45-year-old HIV-positive man with a CD4 count of 400 cells/mm³ presents with a subacute onset of fever, dyspnea, and a cough. A chest X-ray reveals diffuse interstitial infiltrates. What is the most likely diagnosis?","HIV-Infected Patient with RESPIRATORY COMPLAINTS -> If TB risk factors, observe routine infection-control practices during evaluation -> HIV+ with CD4 count >350 cells/ml -> CXR -> Normal -> Assess gas exchange -> Abnormal -> Diffuse infiltrates -> Subacute presentation -> Nocardia"
respiratory symptoms in hiv-infected patients,"**B** Here's why:* **Subacute presentation:** The cough and shortness of breath worsening over weeks points away from a sudden, acute infection like community-acquired pneumonia.* **Focal infiltrates:** While PCP can cause diffuse infiltrates, focal infiltrates are more suggestive of other conditions.* **CD4 count:** A CD4 count of 400 cells/ml is not severely immunosuppressed, making PCP less likely than in someone with a much lower CD4 count. However, it's still possible.**Important Considerations:***While PCP is a possibility, the",E,"A 45-year-old HIV-positive man with a CD4 count of 400 cells/ml presents with a cough and shortness of breath that have gradually worsened over the past few weeks. A chest X-ray shows focal infiltrates. What is the most likely diagnosis, assuming a subacute presentation?","HIV-Infected Patient with RESPIRATORY COMPLAINTS -> If TB risk factors, observe routine infection-control practices during evaluation -> HIV+ with CD4 count >350 cells/ml -> CXR -> Normal -> Assess gas exchange -> Abnormal -> Focal infiltrates -> Subacute presentation -> Nocardia"
respiratory symptoms in hiv-infected patients,"A **Explanation:**While several options could be considered, the most likely next step is to obtain a high-resolution CT scan of the chest (A). Here's why:* **Diffuse interstitial infiltrates** on a chest X-ray are non-specific and can indicate various conditions, including pneumonia, pulmonary fibrosis, or infections like PCP.* A high-resolution CT scan provides more detailed images of the lungs, helping to differentiate between these possibilities and potentially revealing subtle changes that might be missed on a standard X-ray.Let's look at why the other options are less likely:*",E,A 35-year-old HIV-positive man with a CD4 count of 400 cells/mm³ presents with a persistent cough and shortness of breath that has gradually worsened over the past few weeks. A chest X-ray reveals diffuse interstitial infiltrates. What is the most likely next step in evaluating this patient?,"HIV-Infected Patient with RESPIRATORY COMPLAINTS -> If TB risk factors, observe routine infection-control practices during evaluation -> HIV+ with CD4 count >350 cells/ml -> CXR -> Normal -> Assess gas exchange -> Abnormal -> Diffuse infiltrates -> Subacute presentation -> KS"
respiratory symptoms in hiv-infected patients,E,B,"A 35-year-old HIV-positive male with a CD4 count of 400 cells/mm³ presents with a persistent cough and shortness of breath that has gradually worsened over the past few weeks. A chest X-ray reveals focal infiltrates. Given the subacute presentation, which of the following conditions should be highly suspected?","HIV-Infected Patient with RESPIRATORY COMPLAINTS -> If TB risk factors, observe routine infection-control practices during evaluation -> HIV+ with CD4 count >350 cells/ml -> CXR -> Normal -> Assess gas exchange -> Abnormal -> Focal infiltrates -> Subacute presentation -> KS"
respiratory symptoms in hiv-infected patients,D,B,A 35-year-old HIV-positive man with a CD4 count of 400 cells/mm3 presents with a subacute onset of fever and dyspnea. A chest X-ray reveals diffuse interstitial infiltrates. What is the most likely diagnosis?,"HIV-Infected Patient with RESPIRATORY COMPLAINTS -> If TB risk factors, observe routine infection-control practices during evaluation -> HIV+ with CD4 count >350 cells/ml -> CXR -> Normal -> Assess gas exchange -> Abnormal -> Diffuse infiltrates -> Subacute presentation -> NHL"
acute and subacute meningitis,B,A,"A 45-year-old HIV-positive man with a CD4 count of 400 cells/mm³ presents with a persistent cough and shortness of breath for several weeks. A chest X-ray reveals focal infiltrates. Given the subacute presentation and his HIV status, what is the most likely diagnosis to consider?","HIV-Infected Patient with RESPIRATORY COMPLAINTS -> If TB risk factors, observe routine infection-control practices during evaluation -> HIV+ with CD4 count >350 cells/ml -> CXR -> Normal -> Assess gas exchange -> Abnormal -> Focal infiltrates -> Subacute presentation -> NHL"
unstable angina,B,D,"A 72-year-old male presents to the emergency department with chest pain and is suspected of having unstable angina. Initial assessment indicates a low likelihood of true ischemic disease based on ECG and cardiac biomarkers. According to established guidelines, what is the most appropriate next step in the management of this patient?",Likelihood of UA/NSTEMI -> High likelihood -> Hospitalize -> Risk stratify -> Low risk -> Long-Term Care
unstable angina,A,E,"A 62-year-old male presents to the emergency department with severe chest pain, diaphoresis and shortness of breath. His ECG shows ST-segment depression and T-wave inversion in the anterior leads. His initial troponin level is elevated. Given this clinical scenario, which of the following is the MOST appropriate next step in management?",Likelihood of UA/NSTEMI -> High likelihood -> Hospitalize -> Risk stratify -> Catheterization if
dyspnea,C,B,"A 45-year-old male presents with incidentally discovered elevated ALT and AST during a routine check-up. Initial workup, including hepatitis serologies and iron studies, is unremarkable. What is the MOST appropriate next step in the evaluation of this patient?","Evaluation of elevated ALT and AST -> History and physical examination, discontinuation of hepatotoxic medications -> Confirm if an error is suspected -> Liver chemistries, PT, albumin, CBC with platelets, Hepatitis A, B, and C serologies, Iron, total iron-binding capacity, ferritin -> Asymptomatic patient without hepatic decompensation -> Discontinue alcohol, stop hepatotoxic medications, weight loss, diabetes control -> Repeat liver chemistries -> Consider ultrasound, ANA, anti-smooth-muscle Ab, ceruloplasmin, α1-antitrypsin, LKM Ab, alkaline phosphatase -> 5'-nucleotidase, Gamma glutamyl transferase -> >6 mo -> Liver biopsy"
depression,A,B,"A 60-year-old male with a history of mitral stenosis presents to the emergency department with sudden, severe pain and absent pulses in his left leg. He denies any trauma. Physical examination reveals a cool, pale extremity with paresthesia. Which of the following is the MOST appropriate next step in management?","Patient with ACUTE PULSELESS EXTREMITY -> History of mitral stenosis suggests embolic source -> Absence of trauma supports embolism -> Physical exam findings (cool, pale extremity with paresthesia) indicate threatened limb viability -> Immediate initiation of IV heparin is standard -> Presence of neurological deficits mandates prompt operative intervention"
depression,A,C,"A 30-year-old male presents with persistent low mood, fatigue, and difficulty concentrating for the past 4 months, triggered by a recent job loss. He denies suicidal ideation but admits to increased alcohol consumption to cope. After initial assessment, which of the following is the MOST appropriate next step in evaluating his condition?",Job loss followed by depressive symptoms and increased alcohol use → Evaluation rules out organic causes → Findings consistent with adjustment disorder with depressed mood complicated by alcohol misuse → Initiate appropriate substance abuse intervention alongside supportive care
contraceptive choices,"**B** Here's why:* **A, C:** Both the diaphragm and cervical cap require spermicide, which is not an option due to the allergy.* **D:** While effective, implantable progestin is a method primarily chosen by women.* **E:** Combination oral contraceptives contain estrogen, which may not be suitable for all individuals.**The copper IUD (B) is the most appropriate choice because it does not rely on spermicide and is an effective long-term contraceptive option for women.**",D,A 23-year-old male with multiple sexual partners seeks contraception advice and reports an allergy to nonoxynol-9. Which of the following contraceptive methods is most appropriate for his partner?,Patient with nonoxynol-9 allergy precluding barrier methods → Long-acting progestin-only method is preferred for reliable contraception → Implantable progestin is recommended
disturbances of smell and taste,C,E,"A 50-year-old patient reports experiencing a persistent metallic taste in their mouth, accompanied by occasional strange smells. Neurological examination is normal. Which of the following conditions should be considered in the differential diagnosis, especially given the reported taste distortion?",Patient with gustatory and olfactory disturbances (metallic taste and strange smells) → Consider an epileptic aura from temporal lobe epilepsy → Diagnosis: Temporal lobe epilepsy
