ID,question,answer,options,correct_option,path,condition,label,modifications
619,"A 58-year-old postmenopausal woman presents to her primary care physician with complaints of abnormal vaginal bleeding. Her medical history includes obesity and hypertension, and she is not currently taking hormone replacement therapy. After initial evaluation, the physician suspects a uterine source of bleeding. According to the guidelines, what is the MOST appropriate next step in evaluating this patient?",Schedule a transvaginal ultrasound to measure endometrial thickness,"['Perform an endometrial biopsy or hysteroscopy.', 'Prescribe a course of oral contraceptives to regulate bleeding.', 'Order a complete blood count (CBC) to rule out anemia.', 'Schedule a transvaginal ultrasound to measure endometrial thickness.', 'Refer the patient directly to a gynecologist for further evaluation.']",D,Patient with ABNORMAL VAGINAL BLEEDING -> Take patient history -> Perform physical examination and Pap smear -> Determine source of bleeding -> Source of bleeding is uterine -> Patient is postmenopausal -> Consider Ultrasound or Hysteroscopy -> Perform Endometrial Biopsy (EMB) or Hysteroscopy -> EMB/Hysteroscopy is positive -> Uterine cancer is found -> Refer to gynecologist or oncologist,abnormal vaginal bleeding,1,change the correct answer from A to D
620,"A 45-year-old male presents with chronic hand and wrist pain, localized outside the joints. Examination reveals point tenderness over certain tendons and pain that intensifies with active or resisted motion, but not with passive motion. What should be considered in the differential diagnosis?",Dupuytren's contracture,"['Dupuytren's contracture', 'Rheumatoid arthritis', 'Gout', 'Osteoarthritis', 'Carpal tunnel syndrome']",A,"Patient with HAND AND WRIST PAIN -> Extraarticular -> Chronic -> Consider: Tendonitis, Ganglion, Synovial cyst, Tendon nodule, Dupuytren's contracture",hand and wrist pain,0,no changes
621,"A 72-year-old male with a history of hypertension and osteoarthritis presents to your office for a routine follow-up. During the visit, you notice he has lost 12 pounds since his last appointment 2 months ago. He denies intentionally losing weight. You recently started him on a diuretic for mild lower extremity edema. What is the most appropriate next step in managing this patient?",Order a comprehensive metabolic panel,"['Refer to a registered dietitian for nutritional counseling', 'Immediately discontinue the diuretic', 'Order a thyroid function test', 'Repeat weight measurement in 1-2 months and observe for further weight loss.', 'Order a comprehensive metabolic panel']",E,Patient with documented involuntary weight loss -> Recent institution of diuretic -> Observe. Repeat weight at 1-2 mo -> Documented further IWL,involuntary weight loss,1,change the correct answer from D to E 
622,"A 70-year-old male with a history of hypertension and stable heart failure presents to your office for a routine follow-up. He reports feeling well overall, but upon reviewing his chart, you notice a documented 6% weight loss since his last visit 2 months ago. He was started on a diuretic for lower extremity edema 3 months ago. What is the most appropriate next step in managing his involuntary weight loss?",Order a comprehensive metabolic panel and thyroid function tests,"['Order a comprehensive metabolic panel and thyroid function tests.', 'Immediately discontinue the diuretic and assess for improvement.', 'Schedule an urgent colonoscopy to rule out gastrointestinal malignancy.', 'Refer the patient to a registered dietitian for nutritional counseling.', 'Observe the patient and repeat weight measurement in 1-2 months to assess for weight stabilization.']",A,Patient with documented involuntary weight loss -> Recent institution of diuretic -> Observe. Repeat weight at 1-2 mo -> Stable weight -> Usual follow-up,involuntary weight loss,1,change the correct answer from E to A
623,"A 45-year-old male presents with fever, headache, and stiff neck. Physical examination reveals no focal neurological deficits. Lumbar puncture is performed, and CSF analysis shows elevated white blood cell count, low glucose, and high protein. Gram stain and bacterial cultures are negative. What is the next step in management?",Administer broad-spectrum antibiotics,"['Start antituberculosis treatment', 'Initiate acyclovir therapy', 'Perform a brain CT scan', 'Order serologic or CSF-specific tests for syphilis.', 'Administer broad-spectrum antibiotics']",E,"Patient with SIGNS/SYMPTOMS OF MENINGITIS -> Nonfocal examination -> LP for glucose, protein, cell count, Gram stain, bacterial cultures, other tests depending on epidemiology and history. Hold an extra tube of CSF in laboratory -> Meningeal inflammation (elevated WBC, low glucose, or high protein) present -> Gram stain/culture negative -> Serologic or CSF evidence of syphilis -> Treat neurosyphilis",aseptic meningitis,1,change the correct answer from D to E
624,"A 34-year-old male presents with headache, fever, and stiff neck. Examination reveals no focal neurological deficits. Lumbar puncture results are pending. After CSF analysis shows meningeal inflammation but Gram stain and bacterial cultures are negative, what is the MOST appropriate next step in management, considering the risk factors for various causes of aseptic meningitis?",Administer acyclovir for possible HSV infection.,"['Obtain a detailed travel history to assess for endemic fungal or parasitic infections.', 'Administer acyclovir for possible HSV infection.', 'Order CSF VDRL to rule out neurosyphilis.', 'Perform HIV testing, including serum ELISA and PCR, to assess for acute HIV infection or late-stage disease.', 'Initiate empiric antibiotics and dexamethasone.']",B,"Patient with SIGNS/SYMPTOMS OF MENINGITIS -> Nonfocal examination -> LP for glucose, protein, cell count, Gram stain, bacterial cultures, other tests depending on epidemiology and history. Hold an extra tube of CSF in laboratory -> Meningeal inflammation (elevated WBC, low glucose, or high protein) present -> Gram stain/culture negative -> Risk for HIV: HIV test -> Source of aseptic meningitis could be HIV itself or secondary opportunistic infections",aseptic meningitis,1,change the correct answer from D to B
625,"A 25-year-old male presents with fever, headache, and neck stiffness. Physical examination reveals no focal neurological deficits. Lumbar puncture is performed, and CSF analysis shows elevated WBCs, normal glucose, and elevated protein. Gram stain and bacterial cultures are negative. What is the most appropriate next step in management?",Order HSV PCR on CSF and initiate acyclovir if positive.,"['Obtain a CT scan of the head with contrast.', 'Start broad-spectrum antibiotics immediately.', 'Order HSV PCR on CSF and initiate acyclovir if positive.', 'Administer dexamethasone to reduce inflammation.', 'Prescribe symptomatic treatment with analgesics and monitor the patient.']",C,"Patient with SIGNS/SYMPTOMS OF MENINGITIS -> Nonfocal examination -> LP for glucose, protein, cell count, Gram stain, bacterial cultures, other tests depending on epidemiology and history. Hold an extra tube of CSF in laboratory -> Meningeal inflammation (elevated WBC, low glucose, or high protein) present -> Gram stain/culture negative -> HSV PCR -> If positive: acyclovir",aseptic meningitis,0,no changes
626,"A 32-year-old male is newly diagnosed with HIV. After initial counseling and confirmatory testing, what is the MOST important next step in his evaluation?",Order a CD4 count and viral load to assess immune status. ,"['Order a CD4 count and viral load to assess immune status.', 'Initiate antiretroviral therapy immediately.', 'Obtain a detailed history, including potential sources of infection and risk factors.', 'Prescribe prophylactic antibiotics to prevent opportunistic infections.', 'Perform an HIV-focused review of systems, including specific inquiries about skin rashes or lesions.']",A,Initial steps for newly diagnosed HIV-positive patients -> Detailed review of systems -> Skin rashes,approach to the newly diagnosed hiv-positive patient,1,change the correct answer from E to A
627,"A 28-year-old male is newly diagnosed with HIV. Following initial counseling and diagnostic confirmation, what is the MOST appropriate next step in his management?",Order a CD4 count and viral load test.,"['Conduct a complete physical examination, including funduscopic and neurological assessments, and calculate his body mass index.', 'Refer the patient to a mental health professional for counseling.', 'Prescribe prophylactic antibiotics to prevent opportunistic infections.', 'Order a CD4 count and viral load test.', 'Initiate antiretroviral therapy immediately.']",D,Initial steps for newly diagnosed HIV-positive patients -> Complete physical examination -> Body mass index,approach to the newly diagnosed hiv-positive patient,1,change the correct answer from A to D
628,"A 32-year-old male is newly diagnosed with HIV. Following initial counseling and confirmation of the diagnosis, what is the next appropriate step in the management of this patient?",Order a CD4 count and HIV viral load,"['Initiate prophylaxis against opportunistic infections', 'Order a CD4 count and HIV viral load', 'Perform a complete physical examination, including a neurologic assessment.', 'Obtain a detailed sexual history', 'Prescribe immediate antiretroviral therapy']",B,Initial steps for newly diagnosed HIV-positive patients -> Complete physical examination -> Neurologic examination,approach to the newly diagnosed hiv-positive patient,1,change the correct answer from C to B 
629,"A 32-year-old male is newly diagnosed with HIV. Following initial counseling and confirmatory testing, what is the MOST appropriate next step in his management?",Measure CD4 count.,"['Prescribe prophylactic antibiotics for opportunistic infections.', 'Obtain an HIV genotype assay for drug resistance.', 'Initiate pre-exposure prophylaxis (PrEP) for his partner.', 'Measure CD4 count.', 'Begin antiretroviral therapy immediately.']",D,Initial steps for newly diagnosed HIV-positive patients -> Laboratory studies -> HIV genotype assay for drug resistance,approach to the newly diagnosed hiv-positive patient,1,change the correct answer from B to D
630,"A 34-year-old male is newly diagnosed with HIV. Following pre- and post-test counseling, what is the next immediate step in his management?",Order a CD4 count and HIV viral load.,"['Order a CD4 count and HIV viral load.', 'Refer the patient for psychological counseling.', 'Prescribe prophylactic antibiotics.', 'Initiate antiretroviral therapy immediately.', 'Obtain a complete blood count (CBC) and differential.']",A,Initial steps for newly diagnosed HIV-positive patients -> Laboratory studies -> CBC and differential,approach to the newly diagnosed hiv-positive patient,1,change the correct answer from E to A
631,"A 32-year-old male is newly diagnosed with HIV. According to the text, what initial laboratory studies should be performed for this patient?",HIV viral load and CD4 count.,"['Liver function tests, creatinine, electrolytes, and fasting glucose.', 'Complete blood count with differential.', 'Urinalysis and stool culture.', 'Echocardiogram and pulmonary function tests.', 'HIV viral load and CD4 count.']",A,"Initial steps for newly diagnosed HIV-positive patients -> Laboratory studies -> Liver function tests, creatinine, electrolytes, fasting glucose",approach to the newly diagnosed hiv-positive patient,1,change the correct answer from A to E
632,"A 32-year-old male is newly diagnosed with HIV. Following initial counseling and diagnostic confirmation, what is the MOST appropriate next step in his management?",Begin antiretroviral therapy immediately.,"['Prescribe prophylactic antibiotics for Pneumocystis pneumonia.', 'Schedule a follow-up appointment in six months.', 'Order a syphilis test.', 'Order a complete blood count and comprehensive metabolic panel.', 'Begin antiretroviral therapy immediately.']",E,Initial steps for newly diagnosed HIV-positive patients -> Laboratory studies -> Syphilis test,approach to the newly diagnosed hiv-positive patient,1,change the correct answer from C to E 
403,A 45-year-old female presents with chronic abdominal pain for the past 8 months. Initial assessments suggest a visceral origin. What is the MOST appropriate next step in evaluating the cause of her pain?,Obtain a detailed history and physical examination.,"['Initiate a trial of antibiotics for possible small intestinal bacterial overgrowth (SIBO).', 'Refer for psychiatric evaluation.', 'Order an upper endoscopy.', 'Perform a pancreatic function test.', 'Obtain a detailed history and physical examination.']",E,Initial assessment of the patient -> Evidence points to a visceral pain origin -> A comprehensive history and physical exam is the essential next step to guide further targeted testing,chronic abdominal pain,1,Change letter D to E (it is important to assess the hystory of the patient before performing any otpions)
404,"A 52-year-old female presents with chronic abdominal pain, primarily in the right upper quadrant, that has persisted for over 6 months. The pain is intermittent, acute, and often accompanied by sweating and vomiting. The episodes seem to be separated by weeks. Given this information, what is the MOST appropriate next step in evaluating the cause of her chronic abdominal pain?",Assess for biliary obstruction.,"['Assess for biliary obstruction.', 'Evaluate for potential metabolic disorders.', 'Consider gynecological sources of pain.', 'Perform a thorough history and physical examination.', 'Rule out irritable bowel syndrome.']",A,Initial assessment of the patient -> Evidence points to visceral organ as the source -> Assess hepatobiliary-related issues -> Consider biliary obstruction,chronic abdominal pain,0,Maybe this question is quite long and complex
405,"A 54-year-old female presents with chronic abdominal pain for the past 8 months. Initial assessments suggest a possible visceral origin. After evaluating hepatobiliary causes, what is the next appropriate step in diagnosing the cause of her abdominal pain?",Schedule a colonoscopy to investigate potential colonic issues.,"['Order a comprehensive metabolic panel to rule out metabolic disorders.', 'Recommend a trial of dietary changes, focusing on eliminating common allergens.', 'Schedule a colonoscopy to investigate potential colonic issues.', 'Prescribe a course of antibiotics to cover potential infections.', 'Consider a liver biopsy to evaluate for structural or inflammatory liver diseases if other non-invasive tests are inconclusive.']",C,Initial assessment of the patient -> Hepatobiliary causes have been evaluated and excluded -> Consider colonic causes -> Schedule a colonoscopy to further investigate,chronic abdominal pain,1,"Change letter E to C (hepatobiliary causes were already evaluated, next step is to look for other causes e.g. colon)"
406,A 54-year-old female presents with chronic abdominal pain for the past 8 months. Initial assessment reveals no specific diagnosis. Further evaluation suggests a possible visceral origin. Which of the following should be considered next in the evaluation?,Obtain a detailed gynecological history.,"['Obtain a detailed gynecological history.', 'Perform a thorough examination of the abdominal wall.', 'Evaluate for biliary tract disease.', 'Consider metabolic disorders like porphyria.', 'Assess for potential renal involvement, such as pyelonephritis.']",A,"Initial assessment of the patient -> Evidence points to Initial assessment of the patient -> Evidence points to a visceral origin -> In a female patient, gynecological causes should be considered -> Obtain a detailed gynecological historyvisceral organ as the source -> Assess renal-related issues -> Consider pyelonephritis",chronic abdominal pain,1,"Change letter E to A (renal causes are usually accompained by flank pain, urinary symptoms. or systemic signs of infection, whoch are not described here)"
407,"A 53-year-old female presents with chronic abdominal pain of unknown origin. Initial assessments suggest the pain may be related to a visceral organ. After ruling out common causes, the physician suspects a renal issue. Which of the following imaging techniques is most appropriate to further investigate the potential renal origin of her pain?",Abdominal Ultrasound.,"['Colonoscopy', 'CT Scan of the Abdomen and Pelvis', 'Intravenous Pyelography', 'Upper Endoscopy', 'Abdominal Ultrasound']",E,Initial assessment of the patient -> Evidence points to a visceral origin -> Suspect a renal cause -> Order an Abdominal Ultrasound as the appropriate initial imaging study,chronic abdominal pain,1,"Changing letter C to E (the suggested tehnique is old and is already been replaced by the CT, which is not choosen in this case since involves radiation and is better to opt to ecograpgy first)"
408,A 58-year-old female presents with chronic abdominal pain for the past 8 months. Initial assessment suggests a visceral origin. Further evaluation points towards the colon. Which of the following conditions should be highly considered in the differential diagnosis?,Diverticulosis,"['Diverticulosis', 'Endometriosis', 'Chronic Mesenteric Ischemia', 'Familial Mediterranean Fever', 'Irritable Bowel Syndrome (IBS)']",A,Initial assessment of the patient -> Evidence points to visceral organ as the source -> Assess colon-related issues -> Consider diverticulosis,chronic abdominal pain,0,Maybe the question is too vague 
409,"A 54-year-old female presents with chronic abdominal pain for the past 8 months. Initial assessments suggest a visceral origin. After ruling out common causes, the physician suspects a colon-related issue. What is the MOST appropriate next step in the evaluation?",Order an abdominal CT scan.,"['Prescribe a course of antibiotics', 'Refer the patient for psychiatric evaluation', 'Perform a barium enema', 'Order an abdominal CT scan', 'Initiate a trial of pain medication']",D,Initial assessment of the patient -> Evidence points to a colon-related issue -> Advanced imaging is needed -> Order an Abdominal CT scan to further evaluate the colon,chronic abdominal pain,1,"Change C to D (other options like barium enema are less commonly used in this context due to advances in imaging techniques, while antibiotic therapy, psychiatric referral, or a pain medication trial do not address the need for an objective structural evaluation.)"
410,"A 58-year-old male presents to the emergency department with a sudden onset of severe pain and coldness in his left leg. He has no history of trauma. Upon examination, the left leg is pale and cool to the touch, with absent pulses below the femoral artery. What is the MOST important next step in evaluating this patient?",Order an immediate arteriogram.,"['Consult a vascular surgeon immediately', 'Document pulses', 'Administer intravenous heparin', 'Obtain a detailed cardiac history', 'Order an immediate arteriogram']",E,Patient with ACUTE PULSELESS EXTREMITY -> History and exam confirm vascular compromise -> High suspicion for arterial occlusion -> Immediate imaging is necessary -> Order an immediate arteriogram to localize the occlusion,acute pulseless extremity,1,"Change B to E (the arteriogram is important to visualize the arterial tree an dlocalize the blockage, guiding subsequent interventions)"
411,"A 60-year-old male with a history of hypertension and hyperlipidemia presents to the emergency department with sudden onset of severe pain, pallor, and pulselessness in his left leg. He denies any recent trauma. Which of the following is the MOST appropriate next step in the management of this patient?",Emergent surgical embolectomy.,"['Start broad-spectrum antibiotics', 'Initiate thrombolytic therapy', 'Emergent surgical embolectomy', 'Perform a lumbar puncture', 'Consider anticoagulation']",C,Patient with ACUTE PULSELESS EXTREMITY -> History and exam confirm embolic occlusion in a patient with vascular disease -> Presence of severe ischemia mandates immediate revascularization -> Emergent surgical embolectomy is the definitive next step,acute pulseless extremity,1,"Change E to C (Given that the patient’s symptoms suggest a limb-threatening embolic event, the most appropriate next step in management is to perform an emergent surgical embolectomy. This intervention is aimed at quickly restoring blood flow and salvaging the affected limb.)"
412,"A 60-year-old male with a history of hypertension and hyperlipidemia presents to the emergency department with sudden onset of severe pain, pallor, and pulselessness in his left leg. He denies any recent trauma. Which of the following is the MOST appropriate next step in the management of this patient?",Consult vascular surgeon,"['Order a CT scan of the abdomen', 'Perform an immediate amputation', 'Administer intravenous antibiotics', 'Consult vascular surgeon', 'Start oral anticoagulation']",D,"Patient with ACUTE PULSELESS EXTRaEMITY -> History and physical examination -> Pulseless extremity -> Traumatic? -> Underlying cause? (e.g., MI, shock, venous thromboembolism) -> Acute onset? -> History of vascular disease -> Consult vascular surgeon",acute pulseless extremity,0,Maybe this question is quite long and complex
413,"A 60-year-old male with a history of mitral stenosis presents to the emergency department with sudden, severe pain and coldness in his left leg. On examination, the leg is pale, and pulses are absent below the femoral artery. He denies any recent trauma. What is the MOST appropriate next step in the management of this patient?",Perform surgical embolectomy immediately,"['Perform surgical embolectomy immediately', 'Start intravenous heparin empirically', 'Perform an echocardiogram to assess for cardiac thrombus', 'Administer thrombolytic therapy', 'Consider angiography']",A,Patient with ACUTE PULSELESS EXTREMITY and known mitral stenosis (high embolic risk) -> Clinical exam confirms severe ischemia -> Immediate revascularization is required -> Perform surgical embolectomy immediately,acute pulseless extremity,1,"Change E to A (This patient’s presentation is classic for acute limb ischemia due to an embolic event—especially given his history of mitral stenosis, which predisposes him to cardiac thrombus formation. In a case where the limb is threatened (manifested by severe pain, pallor, and absent pulses), rapid revascularization is critical.)"
