question,options,correct_option,path,condition
"A 48-year-old male with a history of anxiety presents to the clinic with recurrent episodes of chest pain. Cardiac workup, including coronary angiography, was unremarkable. Given the suspicion for noncardiac chest pain, what is the MOST appropriate next step in management?","['Refer the patient for psychiatric evaluation and cognitive behavioral therapy.', 'Initiate a trial of high-dose proton pump inhibitor (PPI) therapy twice daily for 14 days.', 'Order an upper endoscopy to rule out structural abnormalities.', 'Perform esophageal manometry to evaluate for motility disorders.', 'Start the patient on a calcium channel blocker for presumed esophageal spasm.']",B,Patient with noncardiac chest pain and normal coronary arteries -> Initial assessment of the patient -> Administer a double dose of proton pump inhibitor twice daily for 14 days -> Patient responds to PPI treatment -> Treat the patient for gastroesophageal reflux disease,noncardiac chest pain
"A 68-year-old male with a 10-year history of Parkinson's disease is experiencing disabling motor fluctuations and dyskinesias despite being on levodopa/carbidopa. After evaluation, the physician decides to change the treatment. Which of the following is the MOST appropriate next step in managing this patient's medication?","['Discontinue levodopa/carbidopa and initiate dopamine agonist monotherapy.', 'Increase the dose of levodopa/carbidopa.', 'Reduce the dose of levodopa/carbidopa and add a COMT inhibitor.', 'Continue levodopa/carbidopa at the same dose and add amantadine.', 'Refer the patient for deep brain stimulation (DBS) surgery.']",D,"History, Physical examination -> Levodopa initiated -> Advanced PD with motor fluctuations/dyskinesias -> Maintain levodopa and add amantadine to manage dyskinesias",noncardiac chest pain
A 45-year-old male presents to the clinic with recurrent episodes of noncardiac chest pain. His ECG and cardiac enzymes are normal. He was initially treated with a high-dose PPI twice daily for 14 days without relief. What is the MOST appropriate next step in the management of this patient?,"['Begin a trial of anti-anxiety medication', 'Empirically treat for microvascular angina', 'Perform an endoscopy to exclude structural or mucosal abnormalities', 'Order esophageal manometry to evaluate for motility disorders', 'Initiate ambulatory pH monitoring to assess for GERD']",C,Patient with noncardiac chest pain and normal coronary arteries -> Initial assessment of the patient -> Administer a double dose of proton pump inhibitor twice daily for 14 days -> Patient does not respond to PPI treatment -> Perform an endoscopy -> Abnormality found during endoscopy -> Treat based on the specific motility disorder,noncardiac chest pain
"A 45-year-old male presents to the clinic with recurrent episodes of noncardiac chest pain. His ECG, cardiac enzymes, and coronary angiogram are normal. Despite a 14-day double-dose PPI trial, his symptoms persist; endoscopy is normal and provocative testing is negative. What is the MOST appropriate next step in managing his chest pain?","['Order an esophageal manometry to assess for motility disorders.', 'Initiate a trial of anti-anxiety medication.', 'Refer the patient for a psychiatric evaluation.', 'Perform 24-hour pH monitoring to correlate chest pain events with reflux events.', 'Prescribe a calcium channel blocker to treat possible microvascular angina.']",D,Noncardiac chest pain -> PPI trial failed -> Endoscopy and provocative testing negative -> 24-hour pH monitoring is indicated to detect reflux correlation,noncardiac chest pain
"A 55-year-old male with a history of noncardiac chest pain and normal coronary arteries has not improved after a 14-day double-dose PPI trial, endoscopy, and further testing showing normal pH and manometry. What is the MOST appropriate next step in evaluating the cause of his chest pain?","['Perform provocative testing (Bernstein, Tensilon, Balloon Distention).', 'Administer a calcium channel blocker.', 'Prescribe a tricyclic antidepressant.', 'Initiate a trial of nitroglycerin.', 'Repeat the endoscopy with biopsy.']",A,"Noncardiac chest pain with normal PPI, endoscopy, pH, and manometry results -> Provocative testing is used to assess esophageal hypersensitivity",noncardiac chest pain
"A 45-year-old male presents with recurrent episodes of noncardiac chest pain despite having normal coronary arteries. Initial treatment with a double dose of proton pump inhibitor twice daily for 14 days proved ineffective. An endoscopy revealed no structural abnormalities, and provocative testing did not induce pain. What is the MOST appropriate next step in managing this patient's chest pain?","['Initiate a trial of a tricyclic antidepressant', 'Perform ambulatory pH monitoring', 'Refer for psychiatric evaluation', 'Prescribe a calcium channel blocker', 'Repeat the endoscopy with biopsy']",A,Patient with noncardiac chest pain and normal coronary arteries -> Initial assessment of the patient -> Administer a double dose of proton pump inhibitor twice daily for 14 days -> Patient does not respond to PPI treatment -> Perform an endoscopy -> No pain induced during provocative testing -> Esophageal cause of chest pain is unlikely -> Consider a trial of a tricyclic antidepressant,noncardiac chest pain
"A 45-year-old female presents with recurrent episodes of cardiac-type chest pain. Coronary angiography revealed normal coronary arteries. An initial trial of high-dose PPI therapy for 14 days was unsuccessful. Subsequent endoscopy showed no structural abnormalities. Provocative testing did not induce chest pain. 24-hour pH monitoring revealed low esophageal pH, but no correlation with chest pain episodes. What would be the next appropriate step in managing this patient's noncardiac chest pain?","['Perform esophageal manometry to assess for motility disorders', 'Refer for psychiatric evaluation for panic disorder', 'Repeat coronary angiography to rule out microvascular angina', 'Prescribe an antidepressant for anxiety', 'Initiate an empiric trial of treatment for GERD, considering possible esophageal involvement despite the lack of direct correlation between low pH and chest pain episodes.']",E,"Patient with noncardiac chest pain and normal coronary arteries -> Initial assessment of the patient -> Administer a double dose of proton pump inhibitor twice daily for 14 days -> Patient does not respond to PPI treatment -> Perform an endoscopy -> No pain induced during provocative testing -> Conduct 24-hour pH monitoring -> Low pH but not correlated with chest pain -> Possible esophageal cause, consider GERD -> Initiate an empiric trial of treatment for GERD",noncardiac chest pain
"A 45-year-old woman with a history of anxiety presents with recurrent noncardiac chest pain. Her coronary workup is normal, and after a failed 14-day double-dose PPI trial and a negative endoscopy with provocative testing, what is the next appropriate step in managing her condition?","['Repeat the endoscopy with biopsy', 'Reassure the patient', 'Initiate a trial of calcium channel blockers', 'Prescribe a tricyclic antidepressant', 'Perform ambulatory pH monitoring']",B,Noncardiac chest pain -> Normal workup and negative provocative tests -> Esophageal cause unlikely -> Reassurance is the appropriate next step,adrenal incidentaloma
"A 55-year-old woman with a history of hypertension and occasional palpitations is found to have a 3 cm adrenal incidentaloma during an abdominal CT scan for unrelated reasons. She denies any recent changes in medication or diet. According to the recommended initial assessment, what is the next best step in her management?","['Perform a dexamethasone suppression test', 'Order an MRI of the adrenal glands', 'Repeat the CT scan in 3 months to assess for growth', 'Measure serum metanephrines', 'Initiate treatment with an alpha-blocker']",D,"Initial assessment of a patient with adrenal incidentaloma -> Obtain patient's medical history -> Perform physical examination for signs of adrenal hyperfunction -> For all patients, measure serum metanephrines",adrenal incidentaloma
"A 55-year-old woman with a history of hypertension and type 2 diabetes is incidentally found to have a 3 cm adrenal mass on a CT scan performed for abdominal pain. She denies any symptoms of Cushing's syndrome, pheochromocytoma, or hyperaldosteronism. What is the next best step in the evaluation of this patient?","['Measure serum metanephrines and 24-hour urinary free cortisol.', 'Order an MRI of the adrenal glands with and without contrast.', 'Immediately schedule a laparoscopic adrenalectomy.', 'Obtain the patient's complete medical history and perform a physical examination, specifically looking for signs and symptoms of adrenal hormone excess.', 'Perform a biopsy of the adrenal mass to rule out malignancy.']",D,"Initial assessment of a patient with adrenal incidentaloma -> Obtain patient's medical history -> Perform physical examination for signs of adrenal hyperfunction -> If there are symptoms or signs of Cushing's syndrome, perform overnight dexamethasone suppression test and measure 24-hour urinary free cortisol",adrenal incidentaloma
"A 58-year-old woman with a history of hypertension and occasional hypokalemia is found to have an adrenal incidentaloma during an abdominal CT scan for unrelated reasons. She is currently taking lisinopril for blood pressure control. According to the guidelines for initial assessment, what is the MOST appropriate next step in evaluating this patient?","['Measure plasma aldosterone and renin activity after discontinuing lisinopril, if clinically appropriate.', 'Order an immediate adrenal biopsy to rule out malignancy.', 'Obtain a detailed family history of endocrine disorders.', 'Perform a dexamethasone suppression test to evaluate for Cushing's syndrome.', 'Initiate treatment with spironolactone to manage hypertension and hypokalemia.']",A,"Initial assessment of a patient with adrenal incidentaloma -> Obtain patient's medical history -> Perform physical examination for signs of adrenal hyperfunction -> If the patient is hypertensive or hypokalemic, measure plasma aldosterone and renin activity",adrenal incidentaloma
"A 45-year-old woman with a history of hirsutism and voice deepening is found to have an adrenal incidentaloma during an abdominal CT scan for unrelated reasons. Besides the aforementioned symptoms, she also reports irregular menstrual cycles. Considering the clinical presentation and the incidentaloma, which of the following is the MOST appropriate next step in the evaluation?","['Obtain serum metanephrines', 'Perform a dexamethasone suppression test', 'Order a PET-CT scan to assess for malignancy', 'Initiate treatment with spironolactone', 'Measure testosterone, estradiol, and DHEA-sulfate levels']",E,"Initial assessment of a patient with adrenal incidentaloma -> Obtain patient's medical history -> Perform physical examination for signs of adrenal hyperfunction -> If there are signs of virilization or feminization, measure testosterone, estradiol, and DHEA-sulfate",adrenal incidentaloma
"A 75-year-old woman with osteoporosis presents to the emergency department after a fall at home, complaining of severe hip pain and an inability to bear weight on the affected leg. Given her history and mechanism of injury, which of the following fractures should be considered in the initial evaluation?","['Shoulder dislocation', 'Osteoporotic compression fracture of the spine', 'Hip fracture, Pelvic fracture, Trochanteric fracture', 'Distal radius fracture', 'Ankle sprain']",C,"Patient with HIP PAIN -> History of trauma -> Consider: Hip fracture, Pelvic fracture, Trochanteric fracture",hip pain
A 55-year-old male presents with hip pain that started insidiously a few weeks ago. He denies any trauma or injury to the hip. The pain is primarily located in the groin and sometimes radiates down the thigh. Which of the following conditions should be considered in the initial differential diagnosis?,"['Ischial bursitis', 'Femoral neck stress fracture', 'Lumbar spinal stenosis', 'Gluteus medius tendonitis', 'Hip arthropathy (Degenerative, Infectious, Inflammatory, Avascular necrosis)']",E,"Patient with HIP PAIN -> No history of trauma -> Groin (or thigh) pain. Consider hip arthropathy: Degenerative, Infectious, Inflammatory, Avascular necrosis",hip pain
"A 58-year-old woman presents with atraumatic buttock pain. She denies any recent falls or injuries. Physical examination reveals no neurological deficits, but she reports pain in the buttock region. Which of the following conditions should be considered in the differential diagnosis?","['LS spine disease, SI joint disease and Ischial bursitis', 'Gluteus medius tendinitis', 'Avascular necrosis', 'Femoral neck stress fracture', 'Hip osteoarthritis']",A,"Patient with HIP PAIN -> No history of trauma -> Buttock pain. Consider: LS spine disease: OA, Disk disease with sciatica. SI joint disease: OA, Inflammatory. Ischial bursitis",hip pain
A 55-year-old woman presents with lateral hip pain that has gradually worsened over the past few months. She reports no history of trauma or injury to the hip. Physical examination reveals tenderness over the greater trochanter. What is the most likely working diagnosis?,"['Osteoarthritis of the hip', 'Sacroiliac joint dysfunction', 'Lumbar spinal stenosis', 'Hip fracture', 'Trochanteric syndrome (bursitis or gluteus medius tendinitis)']",E,Patient with HIP PAIN -> No history of trauma -> Lateral pain. Working diagnosis: Trochanteric syndrome (bursitis or gluteus medius tendinitis),hip pain
A 54-year-old woman presents to her primary care physician complaining of right hip pain that has gradually worsened over the past few months. She denies any recent trauma or injury to the area. What is the most appropriate next step in evaluating her hip pain?,"['Refer her to physical therapy.', 'Obtain radiographs of the hip and pelvis.', 'Prescribe NSAIDs for pain relief.', 'Order an MRI of the hip.', 'Recommend a course of oral steroids.']",B,Patient with HIP PAIN -> No history of trauma -> Radiography -> Diagnosis made,hip pain
A 55-year-old woman with hypertension is found to have a 5 cm adrenal incidentaloma on CT performed for unrelated reasons. She denies any symptoms of hormone excess. What is the most appropriate next step in management?,"['Aldosterone-to-renin ratio measurement', 'Fine needle aspiration of the mass', 'Metanephrine testing', 'Resection of the adrenal mass', 'Observation with serial imaging']",D,Adrenal incidentaloma >4 cm carries a higher risk of malignancy -> Resection is recommended,hip pain
"A 54-year-old woman presents with persistent hip pain that started insidiously a few months ago, with no history of trauma. Radiographs are normal. What is the most appropriate next step in management?","['Recommend hip joint aspiration', 'Prescribe opioid pain medication', 'Further imaging with MRI, CT, or bone scan.', 'Initiate physical therapy and NSAIDs', 'Order an electromyography (EMG)']",C,"Hip pain with normal radiographs -> Advanced imaging (MRI, CT, or bone scan) is needed to detect occult pathology",hip pain
"A 55-year-old male with a history of chronic alcohol abuse presents with muscle weakness, tremors, and cardiac arrhythmias. His serum magnesium level is found to be 1.5 mEq/L. What is the MOST appropriate next step in evaluating the cause of his hypomagnesemia?","['Perform a 24-hour urine test to measure magnesium excretion.', 'Order an ECG to assess for cardiac abnormalities.', 'Check serum calcium and potassium levels.', 'Administer intravenous magnesium sulfate.', 'Obtain a detailed dietary history focusing on magnesium intake.']",A,"Evaluate patient for hypomagnesemia -> Magnesium level below the reference range -> Multiple system involvement (Cardiac, Neuromuscular, CNS). Determine whether caused by decreased intake/absorption or increased losses -> Perform a 24-hour urine test to measure magnesium excretion -> Treat underlying causes. Increase Mg supplementation",hyperkalemia
A 60-year-old male presents to the emergency department with a wide-complex tachycardia. He is hypotensive and showing signs of poor perfusion. What is the most appropriate immediate intervention?,"['Direct current (DC) cardioversion.', 'Obtain a 12-lead ECG and consult cardiology.', 'Perform a vagal maneuver.', 'Administer intravenous amiodarone.', 'Administer intravenous adenosine.']",A,Patient with WIDE-COMPLEX TACHYCARDIA -> Unstable -> DC Cardioversion,wide-complex tachycardia
"A 70-year-old male with a history of myocardial infarction presents with stable wide-complex tachycardia. The ECG shows a QRS duration of 170 ms, right axis deviation, a broad R wave in V1 lasting 50 ms, and a Q wave in V6. According to the mentioned criteria, what is the most likely diagnosis?","['Supraventricular tachycardia with bundle branch block', 'Atrial flutter with variable block', 'Sinus tachycardia with pre-excitation', 'Ventricular tachycardia', 'Atrial fibrillation with aberrant conduction']",D,"Patient with WIDE-COMPLEX TACHYCARDIA -> Stable -> History and physical examination -> QRS duration >160 ms, Right axis deviation >90°, V1: broad R >40 ms, delayed R to S duration >100 ms, V6: any Q wave, Negative concordance",wide-complex tachycardia
"A 68-year-old male with a history of myocardial infarction presents with wide-complex tachycardia. Initial assessment reveals hemodynamic stability and no obvious AV dissociation on the ECG. The QRS complex in V1 is positive, resembling RBBB. Which ECG findings would strongly suggest a ventricular tachycardia (VT) origin in this patient?","['QRS duration of 120 ms, right axis deviation, and a triphasic R wave in V1 with the initial R wave taller than the secondary R wave.', 'QRS duration of 130 ms, left axis deviation, and R:S ratio >1 in V6.', 'QRS duration of 145 ms, normal axis, biphasic (QR) R wave in V1, and R:S ratio of <1 in V6.', 'QRS duration of 150 ms, left axis deviation, a single R wave in V1, and positive concordance.', 'QRS duration >160 ms, Right axis deviation >90°, V1: broad R >40 ms, delayed R to S duration >100 ms, V6: any Q wave, Negative concordance']",E,"Patient with WIDE-COMPLEX TACHYCARDIA -> Stable -> Evidence of AV dissociation? -> No -> Differentiate between LBBB- and RBBB-type patterns and apply morphologic analysis -> V1 positive (RBBB) -> QRS duration >160 ms, Right axis deviation >90°, V1: broad R >40 ms, delayed R to S duration >100 ms, V6: any Q wave, Negative concordance",wide-complex tachycardia
A 28-year-old male presents to the emergency department with palpitations and dizziness. An ECG reveals wide-complex tachycardia. The patient is hemodynamically stable. He reports similar episodes occurring frequently over the past 3 years. What is the MOST appropriate next step in management?,"['Administer intravenous amiodarone.', 'Administer intravenous adenosine.', 'Perform immediate synchronized cardioversion.', 'Immediately perform a 12-lead ECG and analyze for AV dissociation.', 'Obtain a detailed history and physical examination, focusing on factors that suggest supraventricular tachycardia with aberrancy, such as younger age and recurrent symptoms.']",E,"Patient with WIDE-COMPLEX TACHYCARDIA -> Stable -> History and physical examination -> Younger age (<35), Recurrent symptoms for >3 yr",wide-complex tachycardia
"A 58-year-old male presents to the emergency department with a wide-complex tachycardia. He is currently hemodynamically stable, maintaining a blood pressure of 110/70 mmHg and is alert and oriented. According to the guidelines, what is the next appropriate step in managing this patient?","['Administer intravenous amiodarone', 'Initiate a Valsalva maneuver', 'Obtain a 12-lead ECG', 'Administer intravenous adenosine', 'Perform immediate synchronized cardioversion']",C,Patient with WIDE-COMPLEX TACHYCARDIA -> Stable -> Obtain 12-lead ECG,wide-complex tachycardia
"A 58-year-old male presents to the emergency department with a wide-complex tachycardia. He is hemodynamically stable. Upon further evaluation, the ECG shows AV dissociation. Based on this finding, what is the most likely diagnosis?","['Supraventricular Tachycardia (SVT) with Aberrancy', 'Sinus Tachycardia with Bundle Branch Block', 'Atrial Fibrillation with Aberrancy', 'Atrial Flutter with Aberrancy', 'Ventricular Tachycardia (VT)']",E,Patient with WIDE-COMPLEX TACHYCARDIA -> Stable -> Evidence of AV dissociation? -> Yes -> VT,wide-complex tachycardia
"A 54-year-old woman presents with palpable purpura on her lower extremities. She reports a recent upper respiratory infection and associated joint pain. Physical examination reveals no signs of sepsis, and her vital signs are stable. Which of the following is the MOST appropriate next step in the management of this patient?","['Prescribe topical corticosteroids for symptomatic relief', 'Obtain blood cultures and perform a skin biopsy of a purpuric lesion for light microscopy, bacterial smear, and culture to rule out underlying sepsis.', 'Refer the patient to a rheumatologist for further evaluation', 'Order a comprehensive metabolic panel and complete blood count', 'Initiate empiric antibiotic therapy']",B,Patient with PALPABLE PURPURA -> History -> Physical examination -> Systemic signs/symptoms -> Signs of sepsis -> Blood Cultures Skin Biopsy,palpable purpura
"A 72-year-old male presents with palpable purpura on his lower extremities, fever, and altered mental status. Physical examination reveals tachycardia and tachypnea. Considering the possibility of septic vasculitis, what is the MOST appropriate next step in management?","['Administer broad-spectrum antibiotics immediately without further investigation.', 'Obtain blood cultures and perform a skin biopsy of a purpuric lesion for light microscopy, bacterial smear, and culture.', 'Order a complete blood count (CBC) and comprehensive metabolic panel (CMP).', 'Initiate treatment for Henoch-Schönlein purpura.', 'Prescribe topical corticosteroids to reduce inflammation.']",B,"Patient with PALPABLE PURPURA -> History -> Physical examination -> Systemic signs/symptoms -> Signs of sepsis -> Consider:
Streptococcal infection
Staphylococcal sepsis
 গনোকোসেমিয়া
Meningococcemia
Rickettsial disease
Viral infection",palpable purpura
"A 58-year-old male presents with palpable purpura on his lower extremities. After taking a thorough history and performing a physical examination, no systemic signs of sepsis are present. What is the MOST appropriate next step in the evaluation of this patient?","['Immediately perform a skin biopsy of a purpuric lesion for light microscopy, bacterial smear, and culture.', 'Prescribe antihistamines and observe for resolution of symptoms.', 'Order a complete blood count and comprehensive metabolic panel only.', 'Initiate broad-spectrum antibiotics to cover potential septic vasculitis.', 'Obtain a hemogram, chemistry screen, serum cryoglobulins, serum complement, and perform a skin biopsy.']",E,"Patient with PALPABLE PURPURA -> History -> Physical examination -> Systemic signs/symptoms -> Systemic signs without sepsis -> Hemogram
Chemistry Screen
Serum Cryoglobulins
Serum Complement
Skin Biopsy",palpable purpura
"A 52-year-old male presents to the clinic with palpable purpura on his lower extremities. He denies fever, chills, or recent infections. Physical examination reveals no other abnormalities. What is the MOST appropriate next step in the evaluation of this patient?","['Order a urinalysis to assess for kidney involvement', 'Prescribe empiric antibiotics', 'Perform a thorough medication review and discontinue any potential causative agents', 'Initiate a comprehensive workup including hemogram, chemistry screen, serum cryoglobulins, serum complement, and skin biopsy', 'Obtain blood cultures to rule out septic vasculitis']",D,"Patient with PALPABLE PURPURA -> History -> Physical examination -> Cutaneous signs only -> Hemogram
Chemistry Screen
Serum Cryoglobulins
Serum Complement
Skin Biopsy",palpable purpura
"A 45-year-old male presents with palpable purpura on his lower extremities. After ruling out systemic signs of sepsis, what systemic conditions should be considered in the differential diagnosis?","['Immediately start broad-spectrum antibiotics to cover potential septicemia.', 'Perform a thorough neurologic examination to rule out stroke.', 'Evaluate for underlying coagulopathies such as Protein C or S deficiency.', 'Consider Henoch-Schönlein purpura, granulomatous vasculitis, giant cell arteritis, polyarteritis nodosa, urticarial vasculitis, carcinoma, and inflammatory bowel disease.', 'Prescribe topical corticosteroids to alleviate itching and inflammation.']",D,"Patient with PALPABLE PURPURA -> History -> Physical examination -> Systemic signs/symptoms -> Systemic signs without sepsis -> Consider:
Henoch-Schönlein purpura
Granulomatous vasculitis
Giant cell arteritis
Polyarteritis nodosa
Urticarial vasculitis
Carcinoma
Inflammatory bowel disease",palpable purpura
"A 45-year-old male presents with palpable purpura on his lower extremities. Considering the diagnostic approach for palpable purpura, which of the following historical factors would most strongly suggest serum sickness as the underlying cause?","['Recent history of tick bite', 'Family history of autoimmune diseases', 'History of chronic sun exposure', 'History of foreign protein or blood transfusion', 'Recent travel to tropical regions']",D,Patient with PALPABLE PURPURA -> History -> Physical examination -> History of foreign protein or blood transfusion -> Serum sickness,palpable purpura
"A 52-year-old male presents with palpable purpura on his lower extremities, with no other systemic symptoms. After history and physical examination, cutaneous signs are the only findings. What is the MOST appropriate next step in management?","['Immediately start high-dose corticosteroids to suppress the inflammatory response.', 'Perform a comprehensive workup for systemic vasculitides, including ANCA, complement levels, and renal function tests.', 'Initiate broad-spectrum antibiotics to cover for potential septic vasculitis.', 'Consider evaluation for conditions primarily affecting the skin, such as hypersensitivity vasculitis or erythema elevatum diutinum.', 'Prescribe topical corticosteroids and closely monitor for any signs of systemic involvement.']",D,"Patient with PALPABLE PURPURA -> History -> Physical examination -> Cutaneous signs only -> Consider:
Hypersensitivity vasculitis
Essential cryoglobulinemia
Hyperglobulinemic purpura
Erythema elevatum diutinum
Idiopathic cutaneous vasculitis",palpable purpura
"A 52-year-old male with a history of type 1 diabetes presents to the emergency department with confusion and slurred speech. His wife reports that he took his usual insulin dose this morning but skipped breakfast. A fingerstick glucose reveals a level of 55 mg/dL. What is the most appropriate next step in managing this patient's hypoglycemia, considering his diabetic history?","['Provide the patient with a high-protein snack', 'Immediately discharge the patient with instructions to monitor glucose levels', 'Start the patient on an oral hypoglycemic agent', 'Evaluate the patient's insulin regimen and dietary habits to identify potential contributing factors to the hypoglycemic event.', 'Administer intravenous glucagon and monitor for improvement']",D,Symptoms -> Confirm glucose <60 mg/dl -> Patient is diabetic -> Seek contributing factors or adjust insulin dosing,hypoglycemia
"A 50-year-old male with no known history of diabetes presents to the emergency department with confusion and slurred speech. His blood glucose is found to be 55 mg/dL. He admits to consuming a large quantity of alcohol last night and has not eaten since then. Besides alcohol, which of the following drugs could potentially be contributing to his hypoglycemia?","['Levothyroxine', 'Haloperidol', 'Insulin', 'Lisinopril', 'Metformin']",B,"Symptoms -> Confirm glucose <60 mg/dl -> Drug effect: Ethanol, Salicylates, Haloperidol, Pentamidine, Trimethoprim-sulfamethoxazole",hypoglycemia
"A 30-year-old male presents with recurrent episodes of hypoglycemia, confirmed by a glucose level of 50 mg/dL during one such episode. He has no history of diabetes. Further testing reveals a fasting glucose level of 40 mg/dL, elevated insulin levels, but a low C-peptide level. What is the most likely cause of his hypoglycemia?","['Sulfonylurea overdose', 'Exogenous insulin administration', 'Ethanol abuse', 'Adrenal insufficiency', 'Insulinoma']",B,Symptoms -> Confirm glucose <60 mg/dl -> Patient not known to be diabetic -> Fasting glucose <45 mg/dl -> Insulin levels >6 μU/ml -> C-peptide <200 mg/dl -> Exogenous insulin,hypoglycemia
