question,answer,options,correct_option,path,condition
A 52-year-old female is found to have an adrenal incidentaloma measuring 5 cm in diameter during an abdominal CT scan performed for unrelated reasons. What is the most appropriate next step in management?,Resect the adrenal mass.,"['Obtain a detailed medical history and perform a physical examination.', 'Perform a dexamethasone suppression test to rule out Cushing's syndrome.', 'Order serum metanephrines to rule out pheochromocytoma.', 'Resect the adrenal mass.', 'Monitor the adrenal mass with serial imaging every 6 months.']",D,"Initial assessment of a patient with adrenal incidentaloma -> Obtain patient's medical history -> Perform physical examination for signs of adrenal hyperfunction -> If mass is larger than 4 cm, resect",adrenal incidentaloma
"A 48-year-old male is incidentally found to have a 2 cm adrenal mass on a CT scan performed for abdominal pain. He has no known history of hypertension, diabetes, or other endocrine disorders. After obtaining a thorough medical history and performing a physical examination, what is the next appropriate step in the initial management of this patient?",Measure serum metanephrines.,"['Measure serum metanephrines.', 'Perform a dexamethasone suppression test.', 'Measure the aldosterone-to-renin ratio.', 'Obtain a fine needle aspiration of the mass.', 'Repeat the CT scan in 6 months.']",A,"Initial assessment of a patient with adrenal incidentaloma -> Obtain patient's medical history -> Perform physical examination for signs of adrenal hyperfunction -> For all patients, measure serum metanephrines",adrenal incidentaloma
"A 62-year-old female is incidentally found to have a 3 cm adrenal mass on a CT scan performed for abdominal pain. During the review of systems, she reports recent weight gain, easy bruising, and fatigue. On physical examination, the physician notes truncal obesity and violaceous striae on her abdomen. What is the most appropriate next step in evaluating this adrenal incidentaloma?",Perform an overnight dexamethasone suppression test and measure 24-hour urinary free cortisol.,"['Perform an overnight dexamethasone suppression test and measure 24-hour urinary free cortisol.', 'Measure serum metanephrines.', 'Measure the aldosterone-to-renin ratio.', 'Obtain a fine needle aspiration of the mass.', 'Repeat the CT scan in 6 months.']",A,"Initial assessment of a patient with adrenal incidentaloma -> Obtain patient's medical history -> Perform physical examination for signs of adrenal hyperfunction -> If there are symptoms or signs of Cushing's syndrome, perform overnight dexamethasone suppression test and measure 24-hour urinary free cortisol",adrenal incidentaloma
"A 59-year-old male with a history of poorly controlled hypertension and recent diagnosis of hypokalemia is found to have a 2.5 cm adrenal incidentaloma on an abdominal CT scan. After taking a detailed medical history and performing a physical examination, what is the most appropriate next step in the evaluation of this patient?",Measure plasma aldosterone and renin activity.,"['Measure plasma aldosterone and renin activity.', 'Perform an overnight dexamethasone suppression test.', 'Measure serum metanephrines.', 'Obtain a fine needle aspiration of the mass.', 'Repeat the CT scan in 6 months.']",A,"Initial assessment of a patient with adrenal incidentaloma -> Obtain patient's medical history -> Perform physical examination for signs of adrenal hyperfunction -> If the patient is hypertensive or hypokalemic, measure plasma aldosterone and renin activity",adrenal incidentaloma
"A 45-year-old male is found to have a 3 cm adrenal incidentaloma during an abdominal CT scan. On physical examination, the physician notes gynecomastia and decreased libido. What is the most appropriate next step in evaluating this patient?","Measure testosterone, estradiol, and DHEA-sulfate.","['Measure testosterone, estradiol, and DHEA-sulfate.', 'Perform an overnight dexamethasone suppression test.', 'Measure plasma aldosterone and renin activity.', 'Obtain a fine needle aspiration of the mass.', 'Repeat the CT scan in 6 months.']",A,"Initial assessment of a patient with adrenal incidentaloma -> Obtain patient's medical history -> Perform physical examination for signs of adrenal hyperfunction -> If there are signs of virilization or feminization, measure testosterone, estradiol, and DHEA-sulfate",adrenal incidentaloma
A 78-year-old female presents with acute onset of severe hip pain after a fall. She is unable to bear weight on the affected leg. Her past medical history includes osteoporosis. What potential injuries should be considered given her history of trauma?,"Hip fracture, Pelvic fracture, Trochanteric fracture.","['Hip osteoarthritis, Lumbar spinal stenosis, Sacroiliac joint arthritis.', 'Avascular necrosis, Ischial bursitis, Gluteus medius tendonitis.', 'Hip fracture, Pelvic fracture, Trochanteric fracture.', 'Fibromyalgia, Polymyalgia rheumatica, Trochanteric bursitis.', 'Infected hip joint, Non-infectious inflammatory arthritis, Seronegative inflammatory arthritis.']",C,"Patient with HIP PAIN -> History of trauma -> Consider: Hip fracture, Pelvic fracture, Trochanteric fracture",hip pain
"A 62-year-old male presents with gradual onset of groin pain that radiates down the thigh to his knee. He denies any recent trauma or injury. On examination, log-rolling of the hip elicits pain. What potential causes of hip pain should be considered in this patient?","Degenerative, Infectious, Inflammatory, Avascular necrosis.","['Trochanteric bursitis, Gluteus medius tendonitis, Fibromyalgia.', 'Degenerative, Infectious, Inflammatory, Avascular necrosis.', 'Sacroiliac joint arthritis, Lumbar spinal stenosis, Ischial bursitis.', 'Hip fracture, Pelvic fracture, Trochanteric fracture.', 'Polymyalgia rheumatica, Meralgia paresthetica, Piriformis syndrome.']",B,"Patient with HIP PAIN -> No history of trauma -> Groin (or thigh) pain. Consider hip arthropathy: Degenerative, Infectious, Inflammatory, Avascular necrosis",hip pain
A 55-year-old male presents with chronic buttock pain that worsens with prolonged sitting. He denies any history of trauma or injury. What potential causes of hip pain should be considered?,"LS spine disease: OA, Disk disease with sciatica. SI joint disease: OA, Inflammatory. Ischial bursitis.","['Trochanteric bursitis, Gluteus medius tendonitis, Fibromyalgia.', 'LS spine disease: OA, Disk disease with sciatica. SI joint disease: OA, Inflammatory. Ischial bursitis.', 'Degenerative hip arthritis, Infectious hip arthritis, Inflammatory hip arthritis.', 'Hip fracture, Pelvic fracture, Trochanteric fracture.', 'Avascular necrosis, Polymyalgia rheumatica, Meralgia paresthetica.']",B,"Patient with HIP PAIN -> No history of trauma -> Buttock pain. Consider: LS spine disease: OA, Disk disease with sciatica. SI joint disease: OA, Inflammatory. Ischial bursitis",hip pain
"A 48-year-old female presents with lateral hip pain that has gradually worsened over the past few months. She denies any history of trauma or injury. On examination, she has point tenderness over the greater trochanter. What is the most likely working diagnosis?",Trochanteric syndrome (bursitis or gluteus medius tendinitis).,"['Avascular necrosis of the hip.', 'Osteoarthritis of the hip.', 'Trochanteric syndrome (bursitis or gluteus medius tendinitis).', 'Sacroiliac joint dysfunction.', 'Lumbar radiculopathy.']",C,Patient with HIP PAIN -> No history of trauma -> Lateral pain. Working diagnosis: Trochanteric syndrome (bursitis or gluteus medius tendinitis),hip pain
A 68-year-old male presents with chronic hip pain that has been gradually worsening over the past several years. He denies any history of trauma or injury. An anteroposterior radiograph of the pelvis reveals significant joint space narrowing and osteophyte formation in the right hip joint. What is the most likely diagnosis based on the radiographic findings?,Osteoarthritis of the hip.,"['Trochanteric bursitis.', 'Gluteus medius tendonitis.', 'Osteoarthritis of the hip.', 'Sacroiliac joint dysfunction.', 'Lumbar radiculopathy.']",C,Patient with HIP PAIN -> No history of trauma -> Radiography -> Diagnosis made,hip pain
A 45-year-old male presents with chronic hip pain that has been gradually worsening over the past several months. He denies any history of trauma or injury. Initial radiographs are unremarkable. What further imaging studies should be considered if the diagnosis remains uncertain?,"MRI, CT, or bone scan.","['MRI, CT, or bone scan.', 'Repeat radiographs in 6 months.', 'Hip joint aspiration.', 'Electromyography (EMG).', 'Nerve conduction studies.']",A,"Patient with HIP PAIN -> No history of trauma -> Radiography -> Diagnosis uncertain -> MRI, CT, or bone scan",hip pain
"A 35-year-old male presents with acute onset of severe hip pain, particularly with a positive Thomas test. He denies any history of trauma. Radiographs of the hip are unremarkable. What is the next step in management?",Consider image-guided hip aspiration.,"['Initiate physical therapy.', 'Consider image-guided hip aspiration.', 'Order an MRI of the lumbar spine.', 'Prescribe NSAIDs.', 'Refer to rheumatology.']",B,Patient with HIP PAIN -> No history of trauma -> Radiography -> Diagnosis uncertain -> Consider image-guided hip aspiration,hip pain
"A 55-year-old male with a history of chronic alcohol use presents with generalized weakness, tremors, and a recent onset of cardiac arrhythmias. A serum magnesium level is found to be 1.5 mEq/L. After confirming the low magnesium level and noting the multiple system involvement, what is the next best step in determining the cause of his hypomagnesemia?",Perform a 24-hour urine test to measure magnesium excretion.,"['Perform a 24-hour urine test to measure magnesium excretion.', 'Order a serum PTH level.', 'Obtain an ECG to assess for cardiac repolarization abnormalities.', 'Initiate intravenous magnesium sulfate replacement.', 'Obtain a detailed dietary history.']",A,"Evaluate patient for hypomagnesemia -> Magnesium level below the reference range -> Multiple system involvement (Cardiac, Neuromuscular, CNS). Determine whether caused by decreased intake/absorption or increased losses -> Perform a 24-hour urine test to measure magnesium excretion -> Treat underlying causes. Increase Mg supplementation",hyperkalemia
A 65-year-old male presents to the emergency department with a wide-complex tachycardia and a blood pressure of 70/40 mmHg. He is diaphoretic and confused. What is the most appropriate initial treatment?,DC cardioversion.,"['Administer adenosine.', 'Administer verapamil.', 'Administer amiodarone.', 'Perform carotid massage.', 'DC cardioversion.']",E,Patient with WIDE-COMPLEX TACHYCARDIA -> Unstable -> DC Cardioversion,wide-complex tachycardia
"A 58-year-old male with a history of prior myocardial infarction presents with a stable wide-complex tachycardia. An ECG shows a QRS duration of 180 ms, right axis deviation greater than 90 degrees, a broad R wave >40 ms in V1, delayed R to S duration >100 ms in V1, a Q wave in V6, and negative concordance. What is the most likely diagnosis?",Ventricular tachycardia.,"['Atrial fibrillation with aberrancy.', 'Supraventricular tachycardia with bundle branch block.', 'Ventricular tachycardia.', 'Sinus tachycardia with pre-excitation.', 'Atrial flutter with aberrancy.']",C,"Patient with WIDE-COMPLEX TACHYCARDIA -> Stable -> History and physical examination -> QRS duration >160 ms, Right axis deviation >90°, V1: broad R >40 ms, delayed R to S duration >100 ms, V6: any Q wave, Negative concordance",wide-complex tachycardia
"A 60-year-old female with a history of hypertension presents with stable wide-complex tachycardia. There is no evidence of AV dissociation on ECG. The QRS complex is V1 positive (RBBB-type) with a QRS duration of 180 ms, right axis deviation, a broad R wave >40 ms in V1, delayed R to S duration >100 ms in V1, a Q wave in V6, and negative concordance. What is the most likely diagnosis?",Ventricular tachycardia.,"['Atrial fibrillation with RBBB.', 'Supraventricular tachycardia with RBBB.', 'Ventricular tachycardia.', 'Atrial flutter with RBBB.', 'Sinus tachycardia with RBBB.']",C,"Patient with WIDE-COMPLEX TACHYCARDIA -> Stable -> Evidence of AV dissociation? -> No -> Differentiate between LBBB- and RBBB-type patterns and apply morphologic analysis -> V1 positive (RBBB) -> QRS duration >160 ms, Right axis deviation >90°, V1: broad R >40 ms, delayed R to S duration >100 ms, V6: any Q wave, Negative concordance",wide-complex tachycardia
"A 70-year-old patient with a history of congestive heart failure presents with stable wide-complex tachycardia. There is no evidence of AV dissociation on the ECG. The QRS complex is V1 negative (LBBB-type) with the following characteristics: QRS duration of 170 ms, right axis deviation, a broad R wave >40 ms in V1, delayed R to S interval >100 ms in V1, a Q wave in V6, and negative concordance. What is the most likely diagnosis?",Ventricular tachycardia.,"['Atrial fibrillation with LBBB.', 'Supraventricular tachycardia with LBBB.', 'Ventricular tachycardia.', 'Atrial flutter with LBBB.', 'Sinus tachycardia with LBBB.']",C,"Patient with WIDE-COMPLEX TACHYCARDIA -> Stable -> Evidence of AV dissociation? -> No -> Differentiate between LBBB- and RBBB-type patterns and apply morphologic analysis -> V1 negative (LBBB) -> QRS duration >160 ms, Right axis deviation >90°, V1: broad R >40 ms, delayed R to S duration >100 ms, V6: any Q wave, Negative concordance",wide-complex tachycardia
A 30-year-old female presents with a stable wide-complex tachycardia. She has a history of recurrent tachycardia since childhood and has been experiencing similar episodes for over 3 years. What is the most likely diagnosis?,Supraventricular tachycardia with aberrancy.,"['Ventricular tachycardia.', 'Atrial fibrillation with rapid ventricular response.', 'Supraventricular tachycardia with aberrancy.', 'Atrial flutter with rapid ventricular response.', 'Sinus tachycardia with bundle branch block.']",C,"Patient with WIDE-COMPLEX TACHYCARDIA -> Stable -> History and physical examination -> Younger age (<35), Recurrent symptoms for >3 yr",wide-complex tachycardia
"A 42-year-old male presents to the emergency department with a stable wide-complex tachycardia. He denies any chest pain, shortness of breath, or lightheadedness. After assessing his vital signs and confirming his stability, what is the next most appropriate step in management?",Obtain a 12-lead ECG.,"['Administer adenosine.', 'Perform carotid massage.', 'Obtain a 12-lead ECG.', 'Administer intravenous fluids.', 'Obtain a chest X-ray.']",C,Patient with WIDE-COMPLEX TACHYCARDIA -> Stable -> Obtain 12-lead ECG,wide-complex tachycardia
"A 62-year-old male presents to the emergency department with a stable wide-complex tachycardia. After obtaining a 12-lead ECG, the physician identifies AV dissociation. What is the most likely diagnosis?",Ventricular tachycardia.,"['Atrial fibrillation with Wolff-Parkinson-White syndrome.', 'Supraventricular tachycardia with rate-related bundle branch block.', 'Ventricular tachycardia.', 'Atrial flutter with 1:1 conduction.', 'Sinus tachycardia with pre-existing bundle branch block.']",C,Patient with WIDE-COMPLEX TACHYCARDIA -> Stable -> Evidence of AV dissociation? -> Yes -> VT,wide-complex tachycardia
"A 60-year-old male presents with new onset of palpable purpura on his lower extremities. He reports fever, chills, and altered mental status. On examination, he is tachycardic and hypotensive. What is the most appropriate initial step in management?",Blood cultures and skin biopsy.,"['Initiate empiric antibiotic therapy.', 'Obtain a complete blood count and comprehensive metabolic panel.', 'Blood cultures and skin biopsy.', 'Order antinuclear antibody (ANA) and complement levels.', 'Perform a thorough medication review.']",C,Patient with PALPABLE PURPURA -> History -> Physical examination -> Systemic signs/symptoms -> Signs of sepsis -> Blood Cultures Skin Biopsy,palpable purpura
"A 17-year-old male presents to the emergency department with an explosive onset of hundreds of hemorrhagic macules and papules over the whole body. He has a fever, stiff neck, and altered mental status. What potential causes of palpable purpura should be considered in this patient?","Consider: Streptococcal infection, Staphylococcal sepsis, Gonococcemia, Meningococcemia, Rickettsial disease, Viral infection.","['Henoch-Schönlein purpura, Wegener's granulomatosis, Allergic granulomatosis (Churg-Strauss syndrome).', 'Consider: Streptococcal infection, Staphylococcal sepsis, Gonococcemia, Meningococcemia, Rickettsial disease, Viral infection.', 'Essential mixed cryoglobulinemia, Hyperglobulinemic purpura, Erythema elevatum diutinum.', 'Hypersensitivity vasculitis, Polyarteritis nodosa, Urticarial vasculitis.', 'Erythema nodosum, Pyoderma gangrenosum, Sweet's syndrome.']",B,"Patient with PALPABLE PURPURA -> History -> Physical examination -> Systemic signs/symptoms -> Signs of sepsis -> Consider:
Streptococcal infection
Staphylococcal sepsis
 গনোকোসেমিয়া
Meningococcemia
Rickettsial disease
Viral infection",palpable purpura
"A 45-year-old female presents with palpable purpura, joint pain, and fatigue. She denies fever, chills, or signs of sepsis. What is the most appropriate initial laboratory evaluation?","Hemogram, Chemistry Screen, Serum Cryoglobulins, Serum Complement, Skin Biopsy.","['Blood cultures, Skin biopsy, Gram stain of skin lesion.', 'Hemogram, Chemistry Screen, Serum Cryoglobulins, Serum Complement, Skin Biopsy.', 'Antinuclear antibody (ANA), Anti-neutrophil cytoplasmic antibodies (ANCA), Erythrocyte sedimentation rate (ESR).', 'Urinalysis, Chest X-ray, Liver function tests.', 'Medication review, Allergy testing, Skin prick testing.']",B,"Patient with PALPABLE PURPURA -> History -> Physical examination -> Systemic signs/symptoms -> Systemic signs without sepsis -> Hemogram
Chemistry Screen
Serum Cryoglobulins
Serum Complement
Skin Biopsy",palpable purpura
