question,answer,options,correct_option,path,condition
"A 34-year-old woman reports experiencing pain during deep penile penetration, which has been affecting her relationship. She denies any pain with initial penetration or other symptoms. After taking a detailed history and performing a physical exam, what is the MOST appropriate next step in management?",Refer the patient to gynecology for further evaluation.,"['Prescribe topical estrogen cream.', 'Recommend antibiotics for possible pelvic inflammatory disease.', 'Suggest sex therapy to address potential psychological factors.', 'Order an MRI of the pelvis to rule out structural abnormalities.', 'Refer the patient to gynecology for further evaluation.']",E,"Detailed history, including sexual history Focused physical examination -> Female patient -> Dyspareunia -> Deep thrust -> Endometriosis, Pelvic adhesions, Uterine fibroids, Symptomatic uterine retroversion, Pelvic inflammatory disease, Gynecologic malignancies -> Erections absent or inadequate -> Medical Therapy as Appropriate",sexual dysfunction
"A 45-year-old male reports difficulty with delayed ejaculation and is otherwise healthy with normal libido. Initial lab results, including testosterone levels, are within normal limits. What is the MOST appropriate next step in management?",Sex therapy,"['Initiate testosterone replacement therapy', 'Prescribe a selective serotonin reuptake inhibitor (SSRI)', 'Refer to urology for evaluation of retrograde ejaculation', 'Recommend pelvic floor exercises', 'Sex therapy']",E,"Detailed history, including sexual history Focused physical examination -> Male patient -> Ejaculatory dysfunction -> Delayed -> Eugonad -> Sex therapy",sexual dysfunction
A 32-year-old female reports consistent difficulty in achieving orgasm despite adequate sexual desire and arousal. She describes a long-term relationship with her partner and denies any history of sexual abuse or trauma. Physical examination is unremarkable. What is the MOST appropriate next step in management?,Sex therapy focusing on education about female sexual arousal and techniques for self-stimulation.,"['Prescription of a low-dose SSRI to enhance orgasmic function.', 'Referral to a gynecologist for evaluation of potential anatomical abnormalities.', 'Initiation of hormone replacement therapy to improve sexual responsiveness.', 'Counseling on the use of vaginal dilators to address potential vaginismus.', 'Sex therapy focusing on education about female sexual arousal and techniques for self-stimulation.']",E,"Detailed history, including sexual history Focused physical examination -> Female patient -> Anorgasmia -> Lack of understanding of female sexual function -> Self-stimulation/use of erotica -> Sex therapy",sexual dysfunction
"A 23-year-old woman reports difficulty with vaginal penetration during intercourse due to involuntary muscle contractions, and speculum examinations are also difficult. She denies any history of sexual abuse. After a detailed history and physical examination, what is the most appropriate next step in management?","Sex therapy focusing on education, anatomy, and progressive vaginal dilation.","['Empirical antibiotics for possible undiagnosed infection', 'Referral for immediate surgical intervention', 'Prescription of topical anesthetics for pain management', 'Reassurance that the condition is likely temporary and will resolve on its own', 'Sex therapy focusing on education, anatomy, and progressive vaginal dilation.']",E,"Detailed history, including sexual history Focused physical examination -> Female patient -> Vaginismus -> Inexperience/fear -> Sex therapy",sexual dysfunction
A 34-year-old female reports experiencing pain during deep penile thrusting during intercourse. She denies pain with initial penetration. Which of the following conditions should be considered in the differential diagnosis?,Endometriosis,"['Vulvovaginitis', 'Urethritis', 'Inadequate lubrication', 'Endometriosis', 'Vaginismus']",D,"Detailed history, including sexual history Focused physical examination -> Female patient -> Dyspareunia -> Deep thrust -> Endometriosis, Pelvic adhesions, Uterine fibroids, Symptomatic uterine retroversion, Pelvic inflammatory disease, Gynecologic malignancies -> Nocturnal penile tumescence ring",sexual dysfunction
"A 54-year-old male patient reports to his physician experiencing difficulty in achieving and maintaining erections, impacting his sexual activity. Physical examination and detailed history, including sexual history, are unremarkable except for the reported erectile dysfunction. Considering the possible etiologies and initial management strategies, which of the following would be the MOST appropriate next step in management?","Trial of oral PDE5 agents (e.g., sildenafil)","['Psychiatric evaluation and counseling', 'Sex and/or marital therapy', 'Check testosterone level', 'Referral to urology', 'Trial of oral PDE5 agents (e.g., sildenafil)']",E,"Detailed history, including sexual history Focused physical examination -> Female patient -> Dyspareunia -> Deep thrust -> Endometriosis, Pelvic adhesions, Uterine fibroids, Symptomatic uterine retroversion, Pelvic inflammatory disease, Gynecologic malignancies -> Erections absent or inadequate -> Trial Oral PDE5 Agents (e.g., sildenafil)",sexual dysfunction
A 33-year-old female patient reports experiencing pain during deep penile thrusting during intercourse. She denies any pain with initial penetration. Physical examination is normal. Which of the following is the MOST likely underlying cause of her dyspareunia?,Gynecologic evaluation,"['Vulvovaginitis', 'Urethritis', 'Inadequate lubrication', 'Pelvic inflammatory disease', 'Gynecologic evaluation']",E,"Detailed history, including sexual history Focused physical examination -> Female patient -> Dyspareunia -> Deep thrust -> Endometriosis, Pelvic adhesions, Uterine fibroids, Symptomatic uterine retroversion, Pelvic inflammatory disease, Gynecologic malignancies -> Erections absent or inadequate -> Topical/Injection Therapy",sexual dysfunction
A 34-year-old female reports pain during deep penile thrusting during intercourse. She denies pain with initial penetration. What is the most appropriate next step in management?,Gynecologic evaluation,"['Topical estrogen cream', 'Pelvic floor physical therapy', 'Urologic referral', 'Sex therapy', 'Gynecologic evaluation']",E,"Detailed history, including sexual history Focused physical examination -> Female patient -> Dyspareunia -> Deep thrust -> Endometriosis, Pelvic adhesions, Uterine fibroids, Symptomatic uterine retroversion, Pelvic inflammatory disease, Gynecologic malignancies -> Erections absent or inadequate -> Urologic referral",sexual dysfunction
"A 45-year-old male patient reports erectile dysfunction and absence of morning erections during a routine check-up. He denies any known endocrine, vascular, or neurological disorders. What is the MOST appropriate next step in evaluating the possible underlying cause?",Assess the patient for a history of sexual abuse and consider psychiatric referral if indicated.,"['Check testosterone levels to rule out hypogonadism.', 'Prescribe a PDE5 inhibitor to improve erectile function.', 'Recommend immediate referral to a urologist.', 'Suggest lifestyle changes such as increased exercise and reduced stress.', 'Assess the patient for a history of sexual abuse and consider psychiatric referral if indicated.']",E,"Detailed history, including sexual history Focused physical examination -> Male patient -> Erectile dysfunction -> Morning erections absent -> Endometriosis, Pelvic adhesions, Uterine fibroids, Symptomatic uterine retroversion, Pelvic inflammatory disease, Gynecologic malignancies -> Lubricating Agents -> Gynecology referral -> History of sexual abuse -> Psychiatric referral",sexual dysfunction
"A 45-year-old male patient reports erectile dysfunction and is referred to your clinic. He denies experiencing morning erections. After a thorough history and physical examination, what is the MOST appropriate next step in managing this patient, considering potential underlying causes?","Refer the patient for psychiatric evaluation to address potential psychological factors, especially if there is a history of sexual abuse.","['Check testosterone level to rule out endocrine causes of impotence.', 'Prescribe a PDE5 inhibitor to improve erectile function.', 'Refer the patient to urology for further evaluation of retrograde ejaculation.', 'Recommend sex and/or marital therapy to address relationship problems.', 'Refer the patient for psychiatric evaluation to address potential psychological factors, especially if there is a history of sexual abuse.']",E,"Detailed history, including sexual history Focused physical examination -> Male patient -> Erectile dysfunction -> Morning erections absent -> Endometriosis, Pelvic adhesions, Uterine fibroids, Symptomatic uterine retroversion, Pelvic inflammatory disease, Gynecologic malignancies -> Gynecology referral -> History of sexual abuse -> Psychiatric referral",sexual dysfunction
"A 35-year-old woman reports decreased libido and avoidance of sexual contact. She mentions a history of childhood trauma. After a detailed history and physical examination, what is the most appropriate next step?",Psychiatric referral,"['Hormone replacement therapy', 'Sex therapy', 'Prescription of an SSRI', 'Testosterone replacement therapy', 'Psychiatric referral']",E,"Detailed history, including sexual history Focused physical examination -> Female patient -> Hypoactive sexual desire -> History of sexual abuse -> Psychiatric referral",sexual dysfunction
A 35-year-old woman reports a persistent lack of sexual desire that has been affecting her relationship. She denies any medical conditions or medications that could be contributing to the problem but admits to a history of sexual abuse. What is the most appropriate next step in her management?,Psychiatric referral,"['Initiate hormone replacement therapy', 'Prescribe a trial of sildenafil', 'Recommend sex and marital therapy', 'Order a complete blood count and metabolic panel', 'Psychiatric referral']",E,"Detailed history, including sexual history Focused physical examination -> Female patient -> Hypoactive sexual desire -> Other psychological problems -> Marital/sex therapy -> History of sexual abuse -> Psychiatric referral",sexual dysfunction
"A 35-year-old female patient reports hypoactive sexual desire during a routine check-up. After a detailed history and physical examination, you suspect underlying psychological issues. What is the most appropriate next step in managing this patient's condition?",Psychiatric referral,"['Initiate hormone replacement therapy', 'Prescribe a PDE5 inhibitor', 'Recommend sex and/or marital therapy', 'Prescribe an antidepressant medication', 'Psychiatric referral']",E,"Detailed history, including sexual history Focused physical examination -> Female patient -> Hypoactive sexual desire -> Other psychological problems -> Psychiatric referral",sexual dysfunction
"A 34-year-old woman reports decreased libido, which she attributes to relationship difficulties and stress at work. She also mentions a history of childhood sexual abuse. After conducting a thorough medical and sexual history, what is the MOST appropriate next step in her management?",Psychiatric referral,"['Initiate hormone replacement therapy', 'Prescribe a PDE5 inhibitor', 'Recommend sex and/or marital therapy', 'Order routine serologic screening for endocrine disorders', 'Psychiatric referral']",E,"Detailed history, including sexual history Focused physical examination -> Female patient -> Hypoactive sexual desire -> Marital/sex therapy -> History of sexual abuse -> Psychiatric referral",sexual dysfunction
"A 32-year-old female presents to your office complaining of pain during initial penetration. She denies any history of trauma or abuse. Physical exam reveals no obvious lesions or abnormalities, but she winces with palpation of the vulvar vestibule. What is the MOST appropriate next step in management?",Refer the patient to gynecology for further evaluation of potential vulvar vestibulitis or other gynecologic causes.,"['Prescribe topical antibiotics for possible undiagnosed vulvovaginitis.', 'Recommend over-the-counter lubricating agents and advise continued attempts at intercourse.', 'Perform a psychiatric evaluation to rule out underlying psychological factors.', 'Initiate sex therapy focusing on relaxation techniques and gradual desensitization.', 'Refer the patient to gynecology for further evaluation of potential vulvar vestibulitis or other gynecologic causes.']",E,"Detailed history, including sexual history Focused physical examination -> Female patient -> Dyspareunia -> Insertional -> Endometriosis, Pelvic adhesions, Uterine fibroids, Symptomatic uterine retroversion, Pelvic inflammatory disease, Gynecologic malignancies -> Lubricating Agents -> Gynecology referral -> History of sexual abuse -> Psychiatric referral",sexual dysfunction
"A 32-year-old female presents to her primary care physician complaining of pain during initial penetration during intercourse. Physical exam is unremarkable, with no signs of infection or lesions. She reports no history of sexual abuse, but admits to feeling anxious about sex. What is the MOST appropriate next step in management?",Gynecology referral,"['Prescribe topical estrogen cream', 'Recommend over-the-counter lubricants', 'Gynecology referral', 'Initiate a trial of antibiotics', 'Psychiatric referral']",C,"Detailed history, including sexual history Focused physical examination -> Female patient -> Dyspareunia -> Insertional -> Endometriosis, Pelvic adhesions, Uterine fibroids, Symptomatic uterine retroversion, Pelvic inflammatory disease, Gynecologic malignancies -> Gynecology referral -> History of sexual abuse -> Psychiatric referral",sexual dysfunction
"A 32-year-old woman reports experiencing pain during deep penile penetration. She denies any pain with initial insertion but describes a sharp, aching sensation with deeper thrusts. Physical examination is unremarkable, with no signs of infection or inflammation. What is the most appropriate next step in evaluating this patient?",Gynecology referral,"['Prescribe lubricating agents and advise on proper use', 'Recommend pelvic floor muscle exercises', 'Order a CT scan of the abdomen and pelvis', 'Gynecology referral', 'Initiate a course of broad-spectrum antibiotics']",D,"Detailed history, including sexual history Focused physical examination -> Female patient -> Dyspareunia -> Deep thrust -> Endometriosis, Pelvic adhesions, Uterine fibroids, Symptomatic uterine retroversion, Pelvic inflammatory disease, Gynecologic malignancies -> Lubricating Agents -> Gynecology referral -> History of sexual abuse -> Psychiatric referral",sexual dysfunction
A 30-year-old woman reports experiencing pain during deep penile penetration during intercourse. She denies any pain with initial penetration. What is the MOST appropriate next step in management?,Gynecology referral,"['Reassurance and counseling', 'Pelvic floor physical therapy', 'Empirical treatment for pelvic inflammatory disease', 'Psychiatric referral', 'Gynecology referral']",E,"Detailed history, including sexual history Focused physical examination -> Female patient -> Dyspareunia -> Deep thrust -> Endometriosis, Pelvic adhesions, Uterine fibroids, Symptomatic uterine retroversion, Pelvic inflammatory disease, Gynecologic malignancies -> Gynecology referral -> History of sexual abuse -> Psychiatric referral",sexual dysfunction
"A 28-year-old woman reports difficulty with vaginal penetration during intercourse, describing involuntary muscle contractions that prevent insertion. She denies any history of sexual abuse but admits to significant anxiety and fear surrounding sex. After a physical examination rules out other causes of dyspareunia, which of the following is the MOST appropriate next step in management?",Referral to a gynecologist for further evaluation and management.,"['Prescribing topical estrogen cream to address potential vaginal atrophy.', 'Initiating a trial of selective serotonin reuptake inhibitors (SSRIs) to reduce anxiety.', 'Recommending over-the-counter lubricants to alleviate discomfort during attempted penetration.', 'Referral to a psychiatrist for evaluation and management.', 'Referral to a gynecologist for further evaluation and management.']",E,"Detailed history, including sexual history Focused physical examination -> Female patient -> Vaginismus -> Inexperience/fear -> Gynecology referral -> History of sexual abuse -> Psychiatric referral",sexual dysfunction
"A 22-year-old woman reports difficulty with vaginal penetration during intercourse due to involuntary muscle contractions, despite wanting to engage in sexual activity. She denies any history of sexual abuse but admits to feeling anxious and fearful about sex. Following a detailed history and physical examination, which reveals no physical abnormalities, what is the MOST appropriate next step in management?",Psychiatric referral for evaluation and therapy,"['Reassurance and encouragement to continue attempting intercourse', 'Prescription of topical lidocaine for local anesthesia', 'Trial of progressively larger vaginal dilators at home', 'Referral to a gynecologist for evaluation of possible anatomical abnormalities', 'Psychiatric referral for evaluation and therapy']",E,"Detailed history, including sexual history Focused physical examination -> Female patient -> Vaginismus -> Inexperience/fear -> Psychiatric referral",sexual dysfunction
"A 55-year-old male patient reports to his physician about erectile dysfunction. He denies experiencing morning erections. After a thorough medical history and physical examination, what would be the next appropriate step in evaluating this patient?","Referral to a psychiatrist or sex therapist, especially if there is a history of sexual abuse.","['Check testosterone level.', 'Prescribe a PDE5 inhibitor.', 'Recommend lifestyle changes, including diet and exercise.', 'Referral to a urologist.', 'Referral to a psychiatrist or sex therapist, especially if there is a history of sexual abuse.']",E,"Detailed history, including sexual history Focused physical examination -> Male patient -> Erectile dysfunction -> Morning erections absent -> Endometriosis, Pelvic adhesions, Uterine fibroids, Symptomatic uterine retroversion, Pelvic inflammatory disease, Gynecologic malignancies -> Gynecology referral -> History of sexual abuse -> Psychiatric referral or Sex therapy",sexual dysfunction
"A 34-year-old woman reports decreased libido and avoidance of sexual contact. She discloses a history of childhood sexual abuse. After a thorough medical evaluation and physical examination, which of the following is the MOST appropriate next step in management?",Psychiatric referral or sex therapy,"['Hormone replacement therapy', 'Trial of PDE5 inhibitors', 'Testosterone replacement therapy', 'Education about anatomy and use of self-stimulation', 'Psychiatric referral or sex therapy']",E,"Detailed history, including sexual history Focused physical examination -> Female patient -> Hypoactive sexual desire -> History of sexual abuse -> Psychiatric referral or Sex therapy",sexual dysfunction
"A 32-year-old woman reports decreased sexual desire, which she attributes to relationship stress and fatigue. She also discloses a history of childhood sexual abuse. After a thorough medical evaluation rules out organic causes, what is the MOST appropriate next step in managing her hypoactive sexual desire?",Psychiatric referral or sex therapy,"['Initiate hormone replacement therapy', 'Prescribe a PDE5 inhibitor', 'Recommend regular exercise and stress reduction techniques', 'Marital/sex therapy', 'Psychiatric referral or sex therapy']",E,"Detailed history, including sexual history Focused physical examination -> Female patient -> Hypoactive sexual desire -> Other psychological problems -> Marital/sex therapy -> History of sexual abuse -> Psychiatric referral or Sex therapy",sexual dysfunction
"A 32-year-old woman reports decreased sexual desire and difficulty achieving orgasm for the past six months. She denies any medical conditions but admits to a history of childhood sexual abuse. After a thorough medical and sexual history, what is the MOST appropriate next step in managing her sexual dysfunction?",Psychiatric referral or sex therapy,"['Initiate hormone replacement therapy', 'Prescribe a PDE5 inhibitor', 'Recommend increased exercise and stress reduction techniques', 'Marital/sex therapy', 'Psychiatric referral or sex therapy']",E,"Detailed history, including sexual history Focused physical examination -> Female patient -> Hypoactive sexual desire -> Marital/sex therapy -> History of sexual abuse -> Psychiatric referral or Sex therapy",sexual dysfunction
A 32-year-old woman reports experiencing pain during initial penetration during intercourse. She denies any history of trauma or abuse. What is the MOST appropriate next step in management?,Offer lubricating agents and refer to gynecology if symptoms persist.,"['Prescribe topical antibiotics', 'Recommend pelvic floor physical therapy', 'Recommend immediate psychiatric referral', 'Offer lubricating agents and refer to gynecology if symptoms persist.', 'Initiate hormone replacement therapy']",D,"Detailed history, including sexual history Focused physical examination -> Female patient -> Dyspareunia -> Insertional -> Endometriosis, Pelvic adhesions, Uterine fibroids, Symptomatic uterine retroversion, Pelvic inflammatory disease, Gynecologic malignancies -> Lubricating Agents -> Gynecology referral -> History of sexual abuse -> Psychiatric referral or Sex therapy",sexual dysfunction
"A 32-year-old female patient reports experiencing pain during initial penetration, which she describes as sharp and localized. She denies any history of trauma or infection. A detailed medical history reveals no significant findings, but she appears anxious when discussing her symptoms. What is the MOST appropriate next step in managing this patient's dyspareunia?","Refer the patient for psychiatric evaluation or sex therapy, especially if there is a history of sexual abuse.","['Prescribe topical estrogen cream to address potential atrophic vaginitis.', 'Recommend over-the-counter lubricants and advise on proper application techniques.', 'Perform a pelvic examination to assess for vulvar or vaginal abnormalities.', 'Initiate a trial of antibiotics to rule out pelvic inflammatory disease.', 'Refer the patient for psychiatric evaluation or sex therapy, especially if there is a history of sexual abuse.']",E,"Detailed history, including sexual history Focused physical examination -> Female patient -> Dyspareunia -> Insertional -> Endometriosis, Pelvic adhesions, Uterine fibroids, Symptomatic uterine retroversion, Pelvic inflammatory disease, Gynecologic malignancies -> Gynecology referral -> History of sexual abuse -> Psychiatric referral or Sex therapy",sexual dysfunction
A 34-year-old woman reports pain during deep penile penetration during intercourse. She denies any pain with initial penetration or other sexual activity. Her physical exam is normal. What is the MOST appropriate next step in management?,Gynecology referral,"['Prescribe lubricating agents', 'Prescribe topical estrogen', 'Prescribe antibiotics', 'Psychiatric referral', 'Gynecology referral']",E,"Detailed history, including sexual history Focused physical examination -> Female patient -> Dyspareunia -> Deep thrust -> Endometriosis, Pelvic adhesions, Uterine fibroids, Symptomatic uterine retroversion, Pelvic inflammatory disease, Gynecologic malignancies -> Lubricating Agents -> Gynecology referral -> History of sexual abuse -> Psychiatric referral or Sex therapy",sexual dysfunction
A 34-year-old woman reports pain during deep penile penetration during intercourse. She denies pain with initial penetration. Physical examination is unremarkable. Which of the following is the MOST appropriate next step in management?,Gynecology referral,"['Reassurance and counseling', 'Trial of topical lubricants', 'Empiric antibiotics for pelvic inflammatory disease', 'Sex therapy', 'Gynecology referral']",E,"Detailed history, including sexual history Focused physical examination -> Female patient -> Dyspareunia -> Deep thrust -> Endometriosis, Pelvic adhesions, Uterine fibroids, Symptomatic uterine retroversion, Pelvic inflammatory disease, Gynecologic malignancies -> Gynecology referral -> History of sexual abuse -> Psychiatric referral or Sex therapy",sexual dysfunction
"A 23-year-old woman reports difficulty with vaginal penetration during intercourse, experiencing involuntary muscle contractions that prevent insertion. She denies any history of sexual abuse but admits to significant anxiety and fear surrounding sexual activity. After a thorough physical exam rules out other causes, what is the MOST appropriate next step in managing her condition?","Refer the patient to a gynecologist for further evaluation and possible sex therapy, considering her inexperience and fear surrounding sex as potential contributing factors to vaginismus.","['Prescribe a topical anesthetic cream to reduce pain during attempted penetration.', 'Recommend over-the-counter vaginal lubricants to ease insertion.', 'Suggest immediate psychiatric evaluation to address potential underlying trauma.', 'Advise the patient to practice self-dilation at home without further intervention.', 'Refer the patient to a gynecologist for further evaluation and possible sex therapy, considering her inexperience and fear surrounding sex as potential contributing factors to vaginismus.']",E,"Detailed history, including sexual history Focused physical examination -> Female patient -> Vaginismus -> Inexperience/fear -> Gynecology referral -> History of sexual abuse -> Psychiatric referral or Sex therapy",sexual dysfunction
"A 45-year-old female presents with a persistent lack of sexual desire that has been affecting her relationship for the past six months. She reports no significant medical history, but admits to feeling stressed due to work and family responsibilities. Physical examination is unremarkable. What is the MOST appropriate next step in managing her hypoactive sexual desire?",Initiate marital/sex therapy to address relationship issues and explore potential psychological factors.,"['Prescribe a trial of sildenafil to enhance arousal.', 'Order a comprehensive hormone panel to rule out endocrine disorders.', 'Recommend regular exercise and stress reduction techniques.', 'Initiate marital/sex therapy to address relationship issues and explore potential psychological factors.', 'Prescribe antidepressant medication to address possible underlying depression.']",D,"Detailed history, including sexual history Focused physical examination -> Female patient -> Hypoactive sexual desire -> Marital/sex therapy -> Postsurgical medication -> Medical treatment as appropriate",sexual dysfunction
