question,answer,options,correct_option,path,condition
"A 45-year-old woman presents to her primary care physician complaining of persistent fatigue for the past 7 months. She denies fever, weight loss, or any other specific symptoms. She has no significant past medical history and takes no medications. She works as an accountant and reports no recent travel. On physical examination, she appears well, and all findings are normal. What is the most appropriate next step in evaluating her fatigue?","Obtain a detailed history and physical examination, including a description of the fatigue, precipitating and palliative factors, and associated symptoms.","['Order a complete blood count (CBC) and comprehensive metabolic panel (CMP).', 'Prescribe a trial of antidepressants.', 'Refer her to a sleep specialist.', 'Test for Lyme disease and coccidioidomycosis.', 'Obtain a detailed history and physical examination, including a description of the fatigue, precipitating and palliative factors, and associated symptoms.']",E,"History, including careful description of fatigue. Physical examination -> Geographic risk factors -> Test for Lyme disease or coccidioidomycosis -> Normal results -> Fatigue either resolved or appropriate to degree of abnormality",fatigue
"A 45-year-old female presents with persistent fatigue for the past 7 months. Physical examination reveals multiple tender points, and fibromyalgia is suspected. Initial lab results including CPK, CRP, ANA, and RF come back normal. What is the MOST appropriate next step in the management of this patient's fatigue?","Reassure the patient, educate about fibromyalgia, and initiate a treatment plan focusing on symptom management and lifestyle modifications.","['Prescribe a course of high-dose corticosteroids to rule out inflammatory conditions.', 'Order an MRI of the brain to investigate potential neurological causes of fatigue.', 'Refer the patient to a psychiatrist for evaluation of underlying mood disorders.', 'Reassure the patient, educate about fibromyalgia, and initiate a treatment plan focusing on symptom management and lifestyle modifications.', 'Repeat the laboratory tests in 3 months to monitor for any changes.']",D,"History, including careful description of fatigue. Physical examination -> Findings consistent with fibromyalgia -> CPK, CRP, ANA, RF -> Normal results -> Fatigue either resolved or appropriate to degree of abnormality",fatigue
"A 32-year-old woman presents to her primary care physician complaining of persistent fatigue for the past 7 months. She denies any recent travel or exposure to sick contacts. Physical examination and initial laboratory tests, including complete blood count and comprehensive metabolic panel, are unremarkable. Considering the possible underlying causes of her fatigue, what is the MOST appropriate next step in evaluating this patient?",Perform a thorough psychosocial assessment to evaluate for potential psychiatric diagnoses such as depression or anxiety.,"['Order Lyme disease and coccidioidomycosis serology.', 'Prescribe a trial of stimulant medication.', 'Recommend a sleep study to evaluate for sleep apnea.', 'Order advanced imaging of the brain.', 'Perform a thorough psychosocial assessment to evaluate for potential psychiatric diagnoses such as depression or anxiety.']",E,"History, including careful description of fatigue. Physical examination -> Geographic risk factors -> Test for Lyme disease or coccidioidomycosis -> Normal results -> Fatigue greater than appropriate for disease -> Persistent fatigue, no medical cause found -> Psychosocial assessment -> Psychiatric diagnosis identified: depression, anxiety disorder, somatoform disorder, other -> Treat or refer",fatigue
"A 35-year-old woman presents to her primary care physician complaining of persistent fatigue for the past 8 months. She reports no other significant symptoms, and initial physical examination reveals no obvious abnormalities. Basic lab tests, including complete blood count and metabolic panel, are normal. The physician suspects fibromyalgia due to aching muscles. After CPK, CRP, ANA, and RF tests return normal, the physician notes that the patient's fatigue seems disproportionate to her physical symptoms. What is the most appropriate next step in managing this patient's fatigue?",Perform a psychosocial assessment to evaluate for potential psychiatric conditions.,"['Prescribe a trial of stimulant medication to combat the fatigue.', 'Order advanced imaging of the brain to rule out neurological causes.', 'Refer the patient to a rheumatologist for further evaluation of fibromyalgia.', 'Perform a psychosocial assessment to evaluate for potential psychiatric conditions.', 'Recommend a strict exercise regimen to improve energy levels.']",D,"History, including careful description of fatigue. Physical examination -> Findings consistent with fibromyalgia -> CPK, CRP, ANA, RF -> Normal results -> Fatigue greater than appropriate for disease -> Persistent fatigue, no medical cause found -> Psychosocial assessment -> Psychiatric diagnosis identified: depression, anxiety disorder, somatoform disorder, other -> Treat or refer",fatigue
"A 45-year-old woman presents to her primary care physician complaining of persistent fatigue for the past 7 months. She denies any fever, weight loss, or other specific symptoms. Physical examination and initial laboratory tests, including tests for Lyme disease and coccidioidomycosis, are unremarkable. A psychosocial assessment reveals no specific psychiatric diagnosis. Which of the following is the MOST appropriate next step in managing her fatigue?","Recommend symptomatic treatment, including reorganizing her schedule, graduated activity/exercise, and considering referral to cognitive therapy.","['Prescribe antidepressant medication.', 'Order advanced imaging of the brain.', 'Refer her to a rheumatologist for evaluation of fibromyalgia.', 'Recommend symptomatic treatment, including reorganizing her schedule, graduated activity/exercise, and considering referral to cognitive therapy.', 'Prescribe a stimulant medication to combat fatigue.']",D,"History, including careful description of fatigue. Physical examination -> Geographic risk factors -> Test for Lyme disease or coccidioidomycosis -> Normal results -> Fatigue greater than appropriate for disease -> Persistent fatigue, no medical cause found -> Psychosocial assessment -> No specific psychiatric diagnosis identified -> Symptomatic treatment: reorganize schedule, graduated activity/exercise to minimize deconditioning; consider referral to cognitive therapy",fatigue
"A 35-year-old female presents with persistent fatigue for over 6 months, interfering with her daily activities. Physical examination reveals findings consistent with fibromyalgia. Initial lab results (CPK, CRP, ANA, RF) are normal. The fatigue seems disproportionate to her physical condition. After a psychosocial assessment, no specific psychiatric diagnosis is identified. What is the MOST appropriate next step in managing her fatigue?","Symptomatic treatment: reorganize schedule, graduated activity/exercise to minimize deconditioning; consider referral to cognitive therapy","['Prescribe a tricyclic antidepressant to improve sleep and pain.', 'Initiate a trial of corticosteroids to reduce inflammation.', 'Recommend complete bed rest to conserve energy.', 'Symptomatic treatment: reorganize schedule, graduated activity/exercise to minimize deconditioning; consider referral to cognitive therapy', 'Refer to a rheumatologist for further evaluation of possible underlying autoimmune disease.']",D,"History, including careful description of fatigue. Physical examination -> Findings consistent with fibromyalgia -> CPK, CRP, ANA, RF -> Normal results -> Fatigue greater than appropriate for disease -> Persistent fatigue, no medical cause found -> Psychosocial assessment -> No specific psychiatric diagnosis identified -> Symptomatic treatment: reorganize schedule, graduated activity/exercise to minimize deconditioning; consider referral to cognitive therapy",fatigue
"A 32-year-old woman presents to her primary care physician complaining of persistent fatigue for the past 7 months. She denies fever, weight loss, or any other specific symptoms. Physical examination and initial laboratory tests, including tests for Lyme disease and coccidioidomycosis, are unremarkable. What is the MOST appropriate next step in evaluating her fatigue?",Perform a psychosocial assessment to identify potential social or situational problems contributing to her fatigue.,"['Prescribe a trial of stimulant medication to improve her energy levels.', 'Order advanced imaging of the brain to rule out neurological causes.', 'Refer her to a sleep specialist for evaluation of possible sleep disorders.', 'Perform a psychosocial assessment to identify potential social or situational problems contributing to her fatigue.', 'Repeat the initial laboratory tests in 3 months to monitor for any changes.']",D,"History, including careful description of fatigue. Physical examination -> Geographic risk factors -> Test for Lyme disease or coccidioidomycosis -> Normal results -> Fatigue greater than appropriate for disease -> Persistent fatigue, no medical cause found -> Psychosocial assessment -> Social/situational problem identified -> Referral/treatment",fatigue
"A 35-year-old woman presents to her primary care physician complaining of persistent fatigue for the past 8 months. She reports generalized aching muscles, sleep disturbances, and multiple tender points on examination. Initial lab results, including CPK, CRP, ANA, and RF, are normal. The physician suspects fibromyalgia but notes the patient's fatigue seems disproportionate to her physical symptoms. What is the MOST appropriate next step in evaluating the patient's fatigue?",Perform a thorough psychosocial assessment to identify potential contributing factors.,"['Prescribe a trial of low-dose antidepressants to manage potential underlying depression.', 'Order advanced imaging of the brain to rule out neurological causes of fatigue.', 'Refer the patient to a rheumatologist for further evaluation of fibromyalgia.', 'Recommend a graded exercise program to improve energy levels and reduce fatigue.', 'Perform a thorough psychosocial assessment to identify potential contributing factors.']",E,"History, including careful description of fatigue. Physical examination -> Findings consistent with fibromyalgia -> CPK, CRP, ANA, RF -> Normal results -> Fatigue greater than appropriate for disease -> Persistent fatigue, no medical cause found -> Psychosocial assessment -> Social/situational problem identified -> Referral/treatment",fatigue
"A 70-year-old male presents with shortness of breath and chest discomfort. A chest X-ray reveals a pleural effusion. After performing a thoracentesis, the pleural fluid analysis shows the following: Total Protein fluid/serum >0.5, Lactate Dehydrogenase fluid/serum >0.6, and Lactate Dehydrogenase fluid >2/3 upper limit of normal. Based on these findings, what is the most likely classification of the pleural effusion?",Exudate.,"['Transudate.', 'Malignant.', 'Empyema.', 'Chylothorax.', 'Exudate.']",E,Patient with PLEURAL EFFUSION -> History -> Physical examination -> Imaging. PA and lateral CXR. Consider decubitis film. Consider ultrasound -> Suspect CHF or viral pleurisy -> No or atypical progression -> Thoracentesis -> Light's criteria. TPf/TPs >0.5. LDHf/LDHs >0.6. LDHpf >2/3 upper limit of normal -> Transudate. CHF. Nephrotic syndrome. Cirrhosis. PE,pleural effusion
"A 54-year-old male presents to the emergency department with shortness of breath and chest pain. A chest X-ray reveals a large pleural effusion. After thoracentesis, the pleural fluid is noted to be milky-white in appearance. According to the reasoning sequence, what is the most likely cause of this pleural effusion?",Chylothorax,"['Empyema', 'Congestive Heart Failure', 'Tuberculosis', 'Malignancy', 'Chylothorax']",E,"Patient with PLEURAL EFFUSION -> History -> Physical examination -> Imaging. PA and lateral CXR. Consider decubitis film. Consider ultrasound -> Suspect CHF or viral pleurisy -> No or atypical progression -> Thoracentesis -> Light's criteria. TPf/TPs >0.5. LDHf/LDHs >0.6. LDHpf >2/3 upper limit of normal -> Exudate -> Examine for color and odor. Bloody-PE, trauma, malignancy. Putrid- anaerobic infection. Milky- chylothorax",pleural effusion
"A 54-year-old man with a history of rheumatoid arthritis presents with dyspnea and chest pain. A chest X-ray reveals a moderate-sized pleural effusion. Thoracentesis is performed, and the pleural fluid analysis shows the following: TPf/TPs >0.5, LDHf/LDHs >0.6, and LDHpf >2/3 upper limit of normal. The pH of the pleural fluid is 7.15, and the glucose level is 50 mg/dL. Based on these findings, what is the most likely underlying cause of the pleural effusion?",Rheumatoid arthritis,"['Congestive heart failure', 'Viral pleurisy', 'Tuberculosis', 'Systemic lupus erythematosus', 'Rheumatoid arthritis']",E,Patient with PLEURAL EFFUSION -> History -> Physical examination -> Imaging. PA and lateral CXR. Consider decubitis film. Consider ultrasound -> Suspect CHF or viral pleurisy -> No or atypical progression -> Thoracentesis -> Light's criteria. TPf/TPs >0.5. LDHf/LDHs >0.6. LDHpf >2/3 upper limit of normal -> Exudate -> pH <7.20mg/dl or glucose <60. Empyema. Complicated para-pneumonic effusion. Rheumatoid arthritis. Tuberculosis. Systemic lupus erythematosus. Malignancy,pleural effusion
"A 54-year-old male presents with shortness of breath and chest discomfort. A chest X-ray reveals a pleural effusion. After performing a thoracentesis, the pleural fluid analysis shows the following: Total Protein fluid/serum ratio: 0.6, LDH fluid/serum ratio: 0.7, and Pleural fluid LDH: 300 IU/L (serum LDH upper limit of normal is 200 IU/L). According to Light's criteria, what is the next step in management?",Gram stain and culture of the pleural fluid to rule out infection.,"['Repeat thoracentesis for further analysis.', 'Initiate treatment for congestive heart failure.', 'Perform a CT scan of the chest.', 'Administer antibiotics empirically.', 'Gram stain and culture of the pleural fluid to rule out infection.']",E,Patient with PLEURAL EFFUSION -> History -> Physical examination -> Imaging. PA and lateral CXR. Consider decubitis film. Consider ultrasound -> Suspect CHF or viral pleurisy -> No or atypical progression -> Thoracentesis -> Light's criteria. TPf/TPs >0.5. LDHf/LDHs >0.6. LDHpf >2/3 upper limit of normal -> Exudate -> Concern for infection -> Gram stain and culture,pleural effusion
"A 54-year-old male presents to the emergency department with shortness of breath and chest pain. A chest X-ray reveals a large pleural effusion. A thoracentesis is performed, and the pleural fluid is sent for analysis. The lab results show a total cell count >50,000. Based on these findings, what is the most likely diagnosis?",Empyema,"['Congestive heart failure', 'Viral pleurisy', 'Tuberculosis', 'Empyema', 'Chylothorax']",D,"Patient with PLEURAL EFFUSION -> History -> Physical examination -> Imaging. PA and lateral CXR. Consider decubitis film. Consider ultrasound -> Suspect CHF or viral pleurisy -> No or atypical progression -> Thoracentesis -> Light's criteria. TPf/TPs >0.5. LDHf/LDHs >0.6. LDHpf >2/3 upper limit of normal -> Exudate -> Cell count and differential -> Total cell count -> >50,000 -> Empyema",pleural effusion
"A 54-year-old male presents with dyspnea and chest discomfort. A chest X-ray reveals a moderate-sized pleural effusion. Thoracentesis is performed, and the pleural fluid analysis shows the following: TPf/TPs >0.5, LDHf/LDHs >0.6, LDHpf >2/3 upper limit of normal. The total cell count is 4000 cells/uL. According to the reasoning sequence, what is the most likely classification of this pleural effusion?",Chronic exudate,"['Transudate', 'Acute exudate', 'Empyema', 'Hemothorax', 'Chronic exudate']",E,Patient with PLEURAL EFFUSION -> History -> Physical examination -> Imaging. PA and lateral CXR. Consider decubitis film. Consider ultrasound -> Suspect CHF or viral pleurisy -> No or atypical progression -> Thoracentesis -> Light's criteria. TPf/TPs >0.5. LDHf/LDHs >0.6. LDHpf >2/3 upper limit of normal -> Exudate -> Cell count and differential -> Total cell count -> <5000 -> Chronic exudate,pleural effusion
"A 54-year-old male presents with a large pleural effusion. Thoracentesis is performed, and the pleural fluid analysis reveals the following: TPf/TPs >0.5, LDHf/LDHs >0.6, and LDHpf >2/3 upper limit of normal. Cell count and differential reveal a lymphocyte count of 90%. Which of the following is the MOST likely diagnosis?",Tuberculosis,"['Congestive Heart Failure', 'Viral Pleurisy', 'Tuberculosis', 'Bacterial Pneumonia', 'Pulmonary Embolism']",C,Patient with PLEURAL EFFUSION -> History -> Physical examination -> Imaging. PA and lateral CXR. Consider decubitis film. Consider ultrasound -> Suspect CHF or viral pleurisy -> No or atypical progression -> Thoracentesis -> Light's criteria. TPf/TPs >0.5. LDHf/LDHs >0.6. LDHpf >2/3 upper limit of normal -> Exudate -> Cell count and differential -> Lymphocytes 85%-95%. Tuberculosis. Lymphoma. Sarcoid. Rheumatoid arthritis. Chylothorax,pleural effusion
"A 54-year-old male presents with a large pleural effusion detected on a chest X-ray. After thoracentesis, the pleural fluid analysis reveals the following: fluid protein/serum protein ratio of 0.6, fluid LDH/serum LDH ratio of 0.7, and pleural fluid LDH level greater than two-thirds the upper limit of normal serum LDH. According to Light's criteria, what is the most appropriate next step in evaluating the etiology of this pleural effusion?",Further laboratory evaluation is warranted to specifically diagnose the cause of the exudates.,"['Initiate treatment for congestive heart failure.', 'Order a CT scan of the chest with contrast.', 'Perform a pleural biopsy.', 'Measure serum albumin and total protein levels.', 'Further laboratory evaluation is warranted to specifically diagnose the cause of the exudates.']",E,Patient with PLEURAL EFFUSION -> History -> Physical examination -> Imaging. PA and lateral CXR. Consider decubitis film. Consider ultrasound -> Suspect CHF or viral pleurisy -> No or atypical progression -> Thoracentesis -> Light's criteria. TPf/TPs >0.5. LDHf/LDHs >0.6. LDHpf >2/3 upper limit of normal -> Exudate -> Cell count and differential -> Eosinophils >10%. Pneumothorax. Hemothorax. Pulmonary infarction. Asbestosis. Parasitic disease. Fungal infection. Drugs. Malignancy. Churg-Strauss syndrome,pleural effusion
"A 54-year-old male presents with shortness of breath and chest pain. A chest X-ray reveals a large pleural effusion. A thoracentesis is performed, and the pleural fluid is sent for analysis. The results show a fluid protein/serum protein ratio of 0.6, a fluid LDH/serum LDH ratio of 0.7, and a pleural fluid LDH level of 500 U/L (upper limit of normal serum LDH is 200 U/L). The hematocrit of the pleural fluid is 60%, while the peripheral hematocrit is 40%. Based on these findings, what is the most likely diagnosis?",Hemothorax,"['Empyema', 'Transudative effusion', 'Chylothorax', 'Parapneumonic effusion', 'Hemothorax']",E,Patient with PLEURAL EFFUSION -> History -> Physical examination -> Imaging. PA and lateral CXR. Consider decubitis film. Consider ultrasound -> Suspect CHF or viral pleurisy -> No or atypical progression -> Thoracentesis -> Light's criteria. TPf/TPs >0.5. LDHf/LDHs >0.6. LDHpf >2/3 upper limit of normal -> Exudate -> Cell count and differential -> HCT >50% peripheral HCT. Hemothorax,pleural effusion
"A 54-year-old male presents to the emergency department with shortness of breath and chest pain. A chest X-ray reveals a moderate-sized pleural effusion. After thoracentesis, the pleural fluid analysis shows the following: Total protein (pleural fluid) 3.5 g/dL, Total protein (serum) 6.0 g/dL, LDH (pleural fluid) 300 U/L, LDH (serum) 400 U/L. What is the MOST likely next step in the evaluation of this patient's pleural effusion?",Perform a cell count and differential on the pleural fluid.,"['Repeat the thoracentesis and send additional fluid for analysis.', 'Order a CT scan of the chest with contrast.', 'Start the patient on broad-spectrum antibiotics.', 'Perform a cell count and differential on the pleural fluid.', 'Prescribe diuretics and monitor the patient’s symptoms.']",D,Patient with PLEURAL EFFUSION -> History -> Physical examination -> Imaging. PA and lateral CXR. Consider decubitis film. Consider ultrasound -> Suspect CHF or viral pleurisy -> No or atypical progression -> Thoracentesis -> Light's criteria. TPf/TPs >0.5. LDHf/LDHs >0.6. LDHpf >2/3 upper limit of normal -> Exudate -> Cell count and differential -> Mononuclear cell predominant. Viral infection. Chronic causes,pleural effusion
"A 60-year-old male presents with a large pleural effusion. After thoracentesis, the pleural fluid analysis reveals the following: Total Protein fluid/serum ratio >0.5, LDH fluid/serum ratio >0.6, and pleural fluid LDH >2/3 upper limit of normal. Cytology is positive. What is the most likely diagnosis?",Primary lung cancer stage IIIB,"['Congestive Heart Failure', 'Tuberculosis', 'Primary lung cancer stage IIIB', 'Empyema', 'Cirrhosis']",C,Patient with PLEURAL EFFUSION -> History -> Physical examination -> Imaging. PA and lateral CXR. Consider decubitis film. Consider ultrasound -> Suspect CHF or viral pleurisy -> No or atypical progression -> Thoracentesis -> Light's criteria. TPf/TPs >0.5. LDHf/LDHs >0.6. LDHpf >2/3 upper limit of normal -> Exudate -> Cytology positive -> Primary lung cancer stage IIIB,pleural effusion
"A 70-year-old male presents with a large pleural effusion. Thoracentesis is performed, and the pleural fluid analysis reveals the following: Total protein in pleural fluid is 4.0 g/dL, serum total protein is 6.0 g/dL, LDH in pleural fluid is 400 U/L, serum LDH is 200 U/L, and pleural fluid LDH is greater than two-thirds the upper limit of normal for serum. According to Light's criteria, what type of effusion is this, and what is the next step in management?",Exudative effusion; further laboratory evaluation to diagnose the cause.,"['Transudative effusion; treat underlying condition such as heart failure or cirrhosis.', 'Exudative effusion; perform a repeat thoracentesis in 24 hours.', 'Transudative effusion; no further testing is needed.', 'Exudative effusion; initiate empiric antibiotic therapy.', 'Exudative effusion; further laboratory evaluation to diagnose the cause.']",E,Patient with PLEURAL EFFUSION -> History -> Physical examination -> Imaging. PA and lateral CXR. Consider decubitis film. Consider ultrasound -> Suspect CHF or viral pleurisy -> No or atypical progression -> Thoracentesis -> Light's criteria. TPf/TPs >0.5. LDHf/LDHs >0.6. LDHpf >2/3 upper limit of normal -> Exudate -> Cytology positive -> Metastatic disease,pleural effusion
"A 58-year-old male presents with a large pleural effusion detected on a routine chest X-ray. After thoracentesis, the pleural fluid analysis reveals the following: Total Protein fluid/serum ratio >0.5, LDH fluid/serum ratio >0.6, and pleural fluid LDH level is more than two-thirds the upper limit of normal serum LDH. Cytology is positive for malignant cells. Given this information, what is the next most appropriate step in the evaluation?",Flow cytometry,"['Chest tube placement', 'Pleural biopsy', 'CT scan of the chest', 'Gram stain and culture', 'Flow cytometry']",E,Patient with PLEURAL EFFUSION -> History -> Physical examination -> Imaging. PA and lateral CXR. Consider decubitis film. Consider ultrasound -> Suspect CHF or viral pleurisy -> No or atypical progression -> Thoracentesis -> Light's criteria. TPf/TPs >0.5. LDHf/LDHs >0.6. LDHpf >2/3 upper limit of normal -> Exudate -> Cytology positive -> Lymphoma -> Flow cytometry,pleural effusion
"A 54-year-old male presents with a large pleural effusion. Thoracentesis is performed, and the following pleural fluid results are obtained: Total protein (pleural fluid) 4.0 g/dL, Total protein (serum) 6.0 g/dL, LDH (pleural fluid) 400 U/L, LDH (serum) 200 U/L, LDH normal upper limit 200 U/L. What is the most likely classification of this pleural effusion?",Exudate,"['Transudate', 'Empyema', 'Chylothorax', 'Hemothorax', 'Exudate']",E,Patient with PLEURAL EFFUSION -> History -> Physical examination -> Imaging. PA and lateral CXR. Consider decubitis film. Consider ultrasound -> Suspect CHF or viral pleurisy -> No or atypical progression -> Thoracentesis -> Light's criteria. TPf/TPs >0.5. LDHf/LDHs >0.6. LDHpf >2/3 upper limit of normal -> Exudate -> Other chemistry abnormalities -> Triglycerides >110 mg/dl. Chylothorax. Pseudo-chylothorax,pleural effusion
